Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
200502,Atkins Ltd  t/a Faithful Gould,51554212,C1050,External Fees,"1,840.00",25/09/2019,Capital,
200502,Atkins Ltd  t/a Faithful Gould,51554037,C1050,External Fees,"5,557.50",25/09/2019,Capital,
200502,Atkins Ltd  t/a Faithful Gould,51554062,R1101,Agency Staff Pay,"33,973.47",25/09/2019,Communities,
200502,Atkins Ltd  t/a Faithful Gould,51554056,C1050,External Fees,"3,130.00",25/09/2019,Capital,
200502,Atkins Ltd  t/a Faithful Gould,51554057,C1050,External Fees,"3,217.50",25/09/2019,Capital,
200502,Atkins Ltd  t/a Faithful Gould,51554036,C1050,External Fees,830.00,25/09/2019,Capital,
200505,ATS Euromaster Ltd,51561753,R3004,Repair & Maintenance Of Vehicles,"2,610.67",27/09/2019,Communities,
239698,Austrey C of E Primary School - Bham Diocese MAT,51560329,R6107,SEN Statements Funding,650.00,23/09/2019,Communities,
200526,Avenue Lodge Guest House,51552558,R4607,Client Expenses,"5,980.00",12/09/2019,People Group,
200526,Avenue Lodge Guest House,51553705,R6104,Social Care - Section 17 Payments,"2,395.00",27/09/2019,People Group,
216249,Avonside Health Centre,51561671,R5702,Payments to External Contractors,612.01,30/09/2019,Communities,
213427,Aylesford School And Sixth Form College (Academy),51555275,R6109,Funding payment to Academies and Non WCC Schools,"36,317.00",06/09/2019,Communities,
213427,Aylesford School And Sixth Form College (Academy),51559696,R6107,SEN Statements Funding,"3,320.00",20/09/2019,Communities,
200575,Baddesley and Grendon Pre/School - Playgroup,51557244,R6106,Early Years Funding (PVIs and LA),"13,126.81",12/09/2019,Communities,
200575,Baddesley and Grendon Pre/School - Playgroup,51558117,R6106,Early Years Funding (PVIs and LA),"2,332.89",16/09/2019,Communities,
200576,Badenoch & Clark Ltd,51554453,R1101,Agency Staff Pay,771.43,04/09/2019,Resources,
200576,Badenoch & Clark Ltd,51554428,R1101,Agency Staff Pay,"2,445.00",04/09/2019,Resources,
200576,Badenoch & Clark Ltd,51554438,R1101,Agency Staff Pay,936.00,04/09/2019,Resources,
200576,Badenoch & Clark Ltd,51554447,R4409,Consultancy,603.00,06/09/2019,People Group,
200576,Badenoch & Clark Ltd,51550268,R1101,Agency Staff Pay,"2,445.00",11/09/2019,Resources,
200576,Badenoch & Clark Ltd,51554461,R1101,Agency Staff Pay,"1,956.00",11/09/2019,Resources,
200576,Badenoch & Clark Ltd,51554429,R1101,Agency Staff Pay,"2,445.00",11/09/2019,Resources,
200576,Badenoch & Clark Ltd,51551171,R1101,Agency Staff Pay,"2,445.00",11/09/2019,Resources,
200576,Badenoch & Clark Ltd,51551823,R1101,Agency Staff Pay,"2,445.00",11/09/2019,Resources,
200576,Badenoch & Clark Ltd,51556013,R1101,Agency Staff Pay,936.00,11/09/2019,Resources,
200576,Badenoch & Clark Ltd,51556026,R1101,Agency Staff Pay,771.43,11/09/2019,Resources,
200576,Badenoch & Clark Ltd,51556933,R1101,Agency Staff Pay,967.55,11/09/2019,Resources,
200576,Badenoch & Clark Ltd,51559132,R4409,Consultancy,"1,959.75",18/09/2019,People Group,
200576,Badenoch & Clark Ltd,51559387,R1101,Agency Staff Pay,784.50,18/09/2019,Resources,
200576,Badenoch & Clark Ltd,51559385,R1101,Agency Staff Pay,"2,180.00",18/09/2019,Resources,
200576,Badenoch & Clark Ltd,51559404,R1101,Agency Staff Pay,"2,180.00",18/09/2019,Resources,
200576,Badenoch & Clark Ltd,51559124,R4409,Consultancy,"2,412.00",18/09/2019,People Group,
200576,Badenoch & Clark Ltd,51559128,R4409,Consultancy,"1,809.00",18/09/2019,People Group,
200576,Badenoch & Clark Ltd,51559134,R4409,Consultancy,"2,562.75",18/09/2019,People Group,
200576,Badenoch & Clark Ltd,51559121,R4409,Consultancy,"2,412.00",18/09/2019,People Group,
200576,Badenoch & Clark Ltd,51559116,R4409,Consultancy,"1,809.00",18/09/2019,People Group,
200576,Badenoch & Clark Ltd,51560480,R1101,Agency Staff Pay,936.00,20/09/2019,Resources,
200576,Badenoch & Clark Ltd,51560457,R4409,Consultancy,"1,809.00",23/09/2019,People Group,
200576,Badenoch & Clark Ltd,51560450,R4409,Consultancy,"1,809.00",23/09/2019,People Group,
200576,Badenoch & Clark Ltd,51560806,R1101,Agency Staff Pay,771.43,24/09/2019,Resources,
200576,Badenoch & Clark Ltd,51554459,R4409,Consultancy,"1,809.00",26/09/2019,People Group,
200576,Badenoch & Clark Ltd,51554455,R4409,Consultancy,"1,809.00",26/09/2019,People Group,
200576,Badenoch & Clark Ltd,51550281,R4409,Consultancy,"2,562.75",26/09/2019,People Group,
200576,Badenoch & Clark Ltd,51548789,R4409,Consultancy,"2,412.00",26/09/2019,People Group,
200576,Badenoch & Clark Ltd,51547747,R4409,Consultancy,"1,959.75",26/09/2019,People Group,
200576,Badenoch & Clark Ltd,51544841,R4409,Consultancy,"2,412.00",26/09/2019,People Group,
200576,Badenoch & Clark Ltd,51561376,R1101,Agency Staff Pay,"2,725.00",26/09/2019,Resources,
200576,Badenoch & Clark Ltd,51561381,R1101,Agency Staff Pay,784.50,26/09/2019,Resources,
200576,Badenoch & Clark Ltd,51561378,R1101,Agency Staff Pay,936.00,26/09/2019,Resources,
200576,Badenoch & Clark Ltd,51561599,R4409,Consultancy,"1,809.00",27/09/2019,People Group,
,Balfour Beatty Living Places,,DP Dealt with coding,,"2,137,695.24",13/09/2019,Communities,
200589,Balfour Beatty Living Places Ltd (****2460),51552207,C1030,"New Construction, Conversion & Renovation","46,695.83",13/09/2019,Capital,
200589,Balfour Beatty Living Places Ltd (****2460),51558119,R5702,Payments to External Contractors,"2,181,626.63",13/09/2019,Communities,
200593,Bambini Childcare Ltd,51551369,R6106,Early Years Funding (PVIs and LA),800.00,03/09/2019,Communities,
200593,Bambini Childcare Ltd,51551365,R6106,Early Years Funding (PVIs and LA),"1,500.00",03/09/2019,Communities,
200593,Bambini Childcare Ltd,51557356,R6106,Early Years Funding (PVIs and LA),"17,696.45",12/09/2019,Communities,
200593,Bambini Childcare Ltd,51558019,R6106,Early Years Funding (PVIs and LA),"4,976.83",16/09/2019,Communities,
200594,Banana Moon Day Nursery (Grove House),51557138,R6106,Early Years Funding (PVIs and LA),"42,910.39",13/09/2019,Communities,
200594,Banana Moon Day Nursery (Grove House),51558039,R6106,Early Years Funding (PVIs and LA),"6,221.04",16/09/2019,Communities,
226306,Banana Moon Day Nursery (Harbury),51557262,R6106,Early Years Funding (PVIs and LA),"25,270.60",12/09/2019,Communities,
226306,Banana Moon Day Nursery (Harbury),51558101,R6106,Early Years Funding (PVIs and LA),"1,555.26",16/09/2019,Communities,
205913,Banner Group Ltd,51549326,R2704,"Cleaning, Domestic & Caretaking Services / Supplies",635.24,09/09/2019,Resources,
205913,Banner Group Ltd,51555387,R4313,Stationery & Paper,586.74,16/09/2019,People Group,
205913,Banner Group Ltd,51553033,R2704,"Cleaning, Domestic & Caretaking Services / Supplies",784.76,20/09/2019,Resources,
100015,Barchester Healthcare Homes Ltd T/A Cherry Trees Care Centre,51549794,R5806,Residential Care,"-2,285.72",19/09/2019,People Group,
