Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
234921,The Design Concept Company Ltd,51502814,R4008,Equipment - Access To Work,"£5,027.41",19/03/2019,Resources
235528,The Early Learning Camp,51494840,R6106,Early Years Funding (PVIs and LA),"£3,709.44",01/03/2019,Communities
235528,The Early Learning Camp,51505918,R6106,Early Years Funding (PVIs and LA),£615.00,26/03/2019,Communities
999982,The Friends of the Nook,51505998,R5501,Grants / Donations to External Organisations,£650.00,27/03/2019,Communities
227128,The Futures Trust - Keresley Newland Primary Academy,51494863,R6106,Early Years Funding (PVIs and LA),£872.85,01/03/2019,Communities
227128,The Futures Trust - Keresley Newland Primary Academy,51503802,R6107,SEN Statements Funding,"£1,927.00",22/03/2019,Communities
214290,The Futures Trust - President Kennedy School,51498360,R6109,Funding payment to Academies and Non WCC Schools,"£1,560.00",07/03/2019,Communities
214290,The Futures Trust - President Kennedy School,51500594,R6107,SEN Statements Funding,£863.00,13/03/2019,Communities
214290,The Futures Trust - President Kennedy School,51503272,R6109,Funding payment to Academies and Non WCC Schools,"£1,200.00",20/03/2019,Communities
213453,The George Eliot School Academy,51503316,R6109,Funding payment to Academies and Non WCC Schools,"£3,600.00",20/03/2019,Communities
213453,The George Eliot School Academy,51503807,R6107,SEN Statements Funding,"£5,798.00",22/03/2019,Communities
228547,The Griffin Group,51501059,R4441,Professional Fees,£840.00,29/03/2019,Schools
,The Grosvenor Hotel Ru,6297,,,£875.00,11/03/2019,People Group
,The Grosvenor Hotel Ru,7601,,,£875.00,22/03/2019,People Group
238161,The Haven Wolverhampton,51495271,R6104,Social Care - Section 17 Payments,"£1,040.04",28/03/2019,People Group
233599,The Holy Family Catholic Multi Academy Company,51497931,R1408,Other Staffing Costs,"£2,520.00",08/03/2019,Schools
233599,The Holy Family Catholic Multi Academy Company,51489940,R5702,Payments to External Contractors,"£1,341.50",14/03/2019,Communities
233599,The Holy Family Catholic Multi Academy Company,51503785,R6107,SEN Statements Funding,"£1,265.00",22/03/2019,Communities
233599,The Holy Family Catholic Multi Academy Company,51503790,R6107,SEN Statements Funding,£614.00,22/03/2019,Communities
233599,The Holy Family Catholic Multi Academy Company,51503828,R6107,SEN Statements Funding,"£5,722.00",22/03/2019,Communities
227986,The Holy SPIRIT Catholic Multi Academy  T/A St Francis Catholic Primary School,51503775,R6107,SEN Statements Funding,"£1,949.00",22/03/2019,Communities
227988,The Holy SPIRIT Catholic Multi Academy t/a St Benedict's Catholic Primary,51497935,R1408,Other Staffing Costs,£832.65,08/03/2019,Schools
227988,The Holy SPIRIT Catholic Multi Academy t/a St Benedict's Catholic Primary,51503778,R6107,SEN Statements Funding,"£1,221.00",22/03/2019,Communities
227988,The Holy SPIRIT Catholic Multi Academy t/a St Benedict's Catholic Primary,51506171,R1408,Other Staffing Costs,"£1,176.00",27/03/2019,Schools
228576,The Institution Of Fire Engineers (***4939),51494464,R1601,Training,"£3,752.00",15/03/2019,Fire and Rescue
238139,The Jade Studio Ltd,51493042,R4301,"Advertising, Publicity & Promotion",£573.00,20/03/2019,Communities
200289,The Kenelm Youth Trust Ltd,51501474,R4915,Schools Specific - Other Expenditure,"£1,975.00",29/03/2019,Schools
206135,The Kindergarten - Salford Priors,51494880,R6106,Early Years Funding (PVIs and LA),"£2,100.66",01/03/2019,Communities
206136,The Kingswood Learning & Leisure - Group  Ltd,51505936,R4915,Schools Specific - Other Expenditure,"£2,314.00",29/03/2019,Schools
222542,The Knowledge Academy,51484824,R1601,Training,£899.00,22/03/2019,Resources
222542,The Knowledge Academy,51496221,R1601,Training,£899.00,29/03/2019,Resources
206141,The Lemon Press Ltd,51491746,R4310,"Printing, Photocopying and Reprographics",£512.00,15/03/2019,Resources
206145,The Links Daycare Centre Ltd,51494850,R6106,Early Years Funding (PVIs and LA),"£2,769.84",01/03/2019,Communities
206151,The Lucy Faithfull Foundation,51495546,R6104,Social Care - Section 17 Payments,"£1,564.75",29/03/2019,People Group
206157,The Media Collective Ltd,51494968,R4310,"Printing, Photocopying and Reprographics","£2,312.00",28/03/2019,Fire and Rescue
222293,The National Flood Forum,51488634,R5702,Payments to External Contractors,"£7,500.00",14/03/2019,Communities
206164,The Nuneaton Academy,51503293,R6109,Funding payment to Academies and Non WCC Schools,"£3,000.00",20/03/2019,Communities
206164,The Nuneaton Academy,51503815,R6107,SEN Statements Funding,"£2,964.00",22/03/2019,Communities
213141,The Open University,51490437,R1601,Training,"£10,280.00",19/03/2019,People Group
234938,The Pam Britton Trust for Dementia,51492465,R4409,Consultancy,"£1,000.00",21/03/2019,Communities
234938,The Pam Britton Trust for Dementia,51507087,R4409,Consultancy,£845.00,29/03/2019,Communities
237443,The Panto Bus Ltd,51453358,R4915,Schools Specific - Other Expenditure,£795.00,25/03/2019,Schools
206174,The Parenting Project,51502654,R5501,Grants / Donations to External Organisations,£900.00,18/03/2019,Communities
206174,The Parenting Project,51505956,R5501,Grants / Donations to External Organisations,"£2,500.00",27/03/2019,Communities
223219,The Parker E-ACT Academy,51503299,R6109,Funding payment to Academies and Non WCC Schools,£600.00,20/03/2019,Communities
225509,The Penderels Trust Ltd,51486322,R5807,Social Care Block Contracts,"£15,948.63",06/03/2019,People Group
225509,The Penderels Trust Ltd,51486308,R5702,Payments to External Contractors,"£4,092.37",06/03/2019,People Group
225509,The Penderels Trust Ltd,51486316,R5702,Payments to External Contractors,"£2,581.82",06/03/2019,People Group
225509,The Penderels Trust Ltd,51486325,R5807,Social Care Block Contracts,"£4,893.18",06/03/2019,People Group
