Supplier,Transno,Amount,Directorate,Pay Date
Amznmktplace,14203,19.16,People,28/07/2021
Amznmktplace,697,14.91,Resources,28/07/2021
Amznmktplace,348,66.47,Fire and Rescue,28/07/2021
Amznmktplace,1114,29.98,Fire and Rescue,28/07/2021
Amznmktplace,3673,18.32,Fire and Rescue,28/07/2021
Amznmktplace,3528,204.75,Communities,28/07/2021
Amznmktplace,1256,166.74,Communities,29/07/2021
Amznmktplace,1780,21.70,Resources,29/07/2021
Amznmktplace,4712,8.70,Resources,29/07/2021
Amznmktplace,5426,29.97,Communities,29/07/2021
Amznmktplace,4806,26.97,Fire and Rescue,29/07/2021
Amznmktplace,4662,79.75,Communities,29/07/2021
Amznmktplace,9037,61.97,People,29/07/2021
Amznmktplace,1529,274.46,People,29/07/2021
Amznmktplace,2987,141.12,People,31/07/2021
Amznmktplace Amazon.Co,3797,26.34,Communities,01/07/2021
Amznmktplace Amazon.Co,3386,5.41,People,01/07/2021
Amznmktplace Amazon.Co,3602,25.27,Fire and Rescue,01/07/2021
Amznmktplace Amazon.Co,2504,14.99,People,03/07/2021
Amznmktplace Amazon.Co,2554,35.07,People,03/07/2021
Amznmktplace Amazon.Co,2538,33.99,Communities,07/07/2021
Amznmktplace Amazon.Co,2760,30.40,Communities,12/07/2021
Amznmktplace Amazon.Co,5582,175.96,People,13/07/2021
Amznmktplace Amazon.Co,4154,54.59,People,15/07/2021
Amznmktplace Amazon.Co,2668,-16.41,Fire and Rescue,16/07/2021
Amznmktplace Amazon.Co,6306,14.99,Fire and Rescue,21/07/2021
Amznmktplace Amazon.Co,6369,29.99,Resources,21/07/2021
Amznmktplace Amazon.Co,8198,14.48,Communities,22/07/2021
Amznmktplace Amazon.Co,8214,1.09,Communities,22/07/2021
Amznmktplace Amazon.Co,2441,24.51,Communities,26/07/2021
Amznmktplace Amazon.Co,2740,39.95,Communities,27/07/2021
Amznmktplace Amazon.Co,3040,-26.97,Communities,27/07/2021
Amznmktplace Amazon.Co,6477,21.65,Resources,28/07/2021
Ao Retail Limited,19536,34.17,People,12/07/2021
Ao Retail Limited,23978,365.83,People,19/07/2021
Ao Retail Limited,23918,572.50,People,19/07/2021
Ao Retail Limited,30801,-190.83,People,20/07/2021
Ao Retail Limited,30805,190.83,People,20/07/2021
Apple.Com/Bill,20648,2.07,Resources,30/07/2021
Arco Limited (Ahpp),31962,8.79,Communities,05/07/2021
Arco Limited (Ahpp),31962,8.39,Communities,05/07/2021
Arco Limited (Sap),23729,12.86,Communities,20/07/2021
Arco Limited (Sap),23729,8.96,Communities,20/07/2021
Arco Limited (Sap),23729,4.88,Communities,20/07/2021
Argos Ltd,33536,192.94,People,01/07/2021
Argos Ltd,33560,252.46,People,01/07/2021
Argos Ltd,7023,-192.94,People,02/07/2021
Argos Ltd,29623,119.12,People,05/07/2021
Argos Ltd,28519,28.28,People,06/07/2021
Argos Ltd,28535,84.96,People,06/07/2021
Argos Ltd,28555,282.46,People,06/07/2021
Argos Ltd,28587,94.96,People,06/07/2021
Argos Ltd,6566,119.12,People,09/07/2021
Argos Ltd,6298,13.32,People,09/07/2021
Argos Ltd,33513,53.28,People,13/07/2021
Argos Ltd,28951,29.54,People,14/07/2021
Argos Ltd,28955,126.65,People,14/07/2021
Argos Ltd,5107,17.95,People,16/07/2021
Argos Ltd,4724,19.95,People,16/07/2021
Argos Ltd,24387,249.17,People,19/07/2021
Argos Ltd,28150,-115.93,People,19/07/2021
Argos Ltd,28170,85.77,People,19/07/2021
Argos Ltd,28286,115.93,People,19/07/2021
Argos Ltd,33372,283.95,People,21/07/2021
Argos Ltd,25334,89.99,People,22/07/2021
Argos Ltd,27701,34.99,People,22/07/2021
Argos Ltd,27829,446.95,People,22/07/2021
Argos Ltd,333,-17.95,People,23/07/2021
Argos Ltd,23857,356.94,People,27/07/2021
Argos Ltd,23905,299.99,People,27/07/2021
Argos Ltd,28657,268.29,People,29/07/2021
Argos Ltd,28717,214.12,People,29/07/2021
Argos Ltd,28541,166.66,Resources,29/07/2021
Argos Ltd,28549,204.95,People,29/07/2021
Argos Ltd,28553,129.99,People,29/07/2021
Argos Ltd,28601,372.95,People,29/07/2021
Argos Ltd,11162,148.29,People,30/07/2021
Argos Ltd,11142,28.29,People,30/07/2021
Aroq Limited,1368,262.00,Communities,27/07/2021
Aryan Garages,26725,4.75,People,05/07/2021
Asda George Com Leeds,10815,30.79,People,07/07/2021
Asda Groceries Online,7621,-1.50,People,26/07/2021
Asda Groceries Online,7625,104.45,People,26/07/2021
Asda Groceries Online,8505,-25.00,People,26/07/2021
Asda Groceries Online,8521,35.50,People,26/07/2021
Asda Stores 4602,20863,8.23,Communities,22/07/2021
Asda Stores 5757,20624,45.83,People,21/07/2021
Asda Stores Ltd,9596,30.00,People,16/07/2021
Asda Stores Ltd,9600,21.00,People,16/07/2021
Asda Stores Ltd,9742,10.00,People,21/07/2021
Asda Superstore,22952,28.33,People,01/07/2021
Asda Superstore,20543,20.00,People,08/07/2021
Asda Superstore,21812,8.51,People,20/07/2021
Asda Superstore,21917,1.09,Fire and Rescue,20/07/2021
Asda Superstore,20703,6.48,People,22/07/2021
