Supplier,Transno,Amount,Directorate,Pay Date
Argos Ltd,28103,152.36,People,17/06/2021
Argos Ltd,8542,24.99,People,17/06/2021
Argos Ltd,26057,57.47,People,21/06/2021
Argos Ltd,34193,166.66,People,23/06/2021
Argos Ltd,6227,12.49,People,25/06/2021
Argos Ltd,5841,19.95,People,25/06/2021
Argos Ltd,6179,24.99,People,25/06/2021
Argos Ltd,5857,95.44,People,25/06/2021
Argos Ltd,5869,13.94,People,25/06/2021
Argos Maypole,5862,43.95,People,05/06/2021
Asda George Com Leeds,9420,76.95,Resources,02/06/2021
Asda George Com Leeds,9420,26.25,Resources,02/06/2021
Asda Groceries Online,8492,50.92,People,01/06/2021
Asda Store 4738,18005,9.82,Communities,28/06/2021
Asda Store 4738,20823,7.99,Communities,29/06/2021
Asda Store 4738,22254,5.40,Communities,30/06/2021
Asda Store 4738,22266,4.94,Communities,30/06/2021
Asda Stores 4523,21626,8.82,People,15/06/2021
Asda Stores Ltd,7270,30.00,People,07/06/2021
Asda Superstore,21735,76.95,People,17/06/2021
Asda Superstore,22679,38.14,People,22/06/2021
Asda Superstore,22793,13.85,People,23/06/2021
Asda Superstore,22797,249.17,People,23/06/2021
Atlassian,31354,8.66,Resources,28/06/2021
Aws Emea,28443,22.83,Communities,03/06/2021
B & Q 1092,14688,31.67,Communities,01/06/2021
B & Q 1092,14688,9.17,Communities,01/06/2021
B & Q 1363,25619,4.62,Communities,10/06/2021
B&m 468 - Hs Nuneaton,18503,114.55,People,22/06/2021
B&m 468 - Hs Nuneaton,18507,327.60,People,22/06/2021
B&m 468 - Hs Nuneaton,19319,6.65,Fire and Rescue,24/06/2021
B&m 468 - Hs Nuneaton,19327,1.15,Fire and Rescue,24/06/2021
B&q Direct,30242,149.33,Resources,29/06/2021
Batterystation.Co.Uk,16157,143.91,Communities,22/06/2021
Bensonsforbedsretail,12182,158.32,People,18/06/2021
Biffa Waste Services L,26959,13.00,People,03/06/2021
Birmingham Moor Street,28095,12.00,People,15/06/2021
Birmingham Register,8261,14.50,Resources,11/06/2021
Birmingham Register,8265,14.50,Resources,11/06/2021
Birmingham Register,8269,14.50,Resources,11/06/2021
Birmingham Register,8273,14.50,Resources,11/06/2021
Birmingham Register,32459,-14.50,Resources,16/06/2021
Birmingham Register,32463,-14.50,Resources,16/06/2021
Birmingham Register,32467,-14.50,Resources,16/06/2021
Birmingham Register,28773,14.50,People,21/06/2021
Boc Gases,32278,64.50,Communities,16/06/2021
Boc Gases,25499,268.56,Communities,23/06/2021
Boconline.Co.Uk,26454,187.56,Communities,07/06/2021
Boing Rapid Secure Ltd,11091,204.00,People,23/06/2021
Boohoo.Com,9564,57.39,Communities,08/06/2021
Boohoo.Com,5611,-26.20,Communities,08/06/2021
Boohoo.Com,11639,48.79,Communities,10/06/2021
Booker Limited Llandud,30618,189.47,Communities,25/06/2021
Booker Limited Llandud,30615,41.97,Communities,25/06/2021
Booker Limited Nuneato,24322,178.70,Communities,01/06/2021
Bookerecomm,26728,36.12,Communities,03/06/2021
Bookerecomm,26728,32.55,Communities,03/06/2021
Bookerecomm,6380,24.98,Resources,10/06/2021
Bookerecomm,6380,30.18,Resources,10/06/2021
Bookerecomm,30949,98.04,Communities,14/06/2021
Bookerecomm,36123,203.71,Communities,17/06/2021
Bookerecomm,1901,17.57,Resources,23/06/2021
Bookerecomm,1901,37.97,Resources,23/06/2021
Bookerecomm,1226,206.31,Communities,24/06/2021
Bookmeetingroom.Com,31414,12.99,Communities,04/06/2021
Bp Guys Cliffe Conveni,6019,16.25,People,30/06/2021
Braunoni,36788,31.94,Communities,29/06/2021
British Gas Otp,30971,40.00,People,09/06/2021
British Gas Otp,33075,20.00,People,16/06/2021
British Gas Otp,33099,20.00,People,16/06/2021
British Gas Otp,31482,30.00,People,24/06/2021
Britishparking.Co.Uk,23170,550.00,Resources,28/06/2021
Brumacc,21843,340.99,People,01/06/2021
Bt.Com Business Bp,15424,157.80,Communities,02/06/2021
Bt.Com Business Bp,25027,63.80,People,14/06/2021
Btconsumer Wifirecurri,26426,30.00,Communities,07/06/2021
Budget Skip Services L,2806,233.33,Fire and Rescue,09/06/2021
Building & Plumb Supp,1762,46.04,Communities,03/06/2021
Building & Plumb Supp,1765,95.74,Communities,03/06/2021
Bumbles,19380,6.15,People,16/06/2021
Buyitdirect Co Uk,29787,113.59,People,09/06/2021
C.E.F. (Coleshill),27245,14.36,Fire and Rescue,14/06/2021
Caffe Nero Leamington,2104,1.71,People,21/06/2021
Cartridgepeople.Com,20925,9.92,Communities,15/06/2021
Cbs Conwy Cbc,35485,40.00,Communities,24/06/2021
Central Buildings And,5104,137.50,Communities,28/06/2021
Central Eng Co Op,32749,2.42,People,22/06/2021
Central Eng Coop,34684,3.67,People,23/06/2021
Cewe Limited,25695,30.45,People,22/06/2021
Charlies Stores Ltd,17048,27.04,Communities,09/06/2021
Chas 2013 Ltd,7437,519.00,Communities,23/06/2021
Cibse,3310,272.00,Communities,01/06/2021
Cipd Integra,24598,190.00,Resources,09/06/2021
Cipd Integra,19163,163.00,Resources,28/06/2021
Cipd Integra,19166,190.00,Resources,28/06/2021
Cipd Integra,23196,163.00,Resources,29/06/2021
Cipd Membership Renewa,10516,163.00,Resources,03/06/2021
Cipd Membership Renewa,16443,163.00,Resources,10/06/2021
Cipd Membership Renewa,15907,98.00,Resources,30/06/2021
City Furniture Hire,14342,1250.22,Communities,09/06/2021
City Of Newcastle Inte,15635,11.00,People,11/06/2021
City Of Newcastle Inte,14362,-11.00,People,14/06/2021
Clearabee Limited,4666,89.99,People,22/06/2021
Coleman Milne,11393,50.00,Communities,15/06/2021
Companies House,28845,15.00,Resources,28/06/2021
Companysealsuk.Com,4132,40.00,Resources,23/06/2021
Companysealsuk.Com,4132,2.50,Resources,23/06/2021
Constructioncert,43,18.32,Communities,25/06/2021
Constructioncert,43,22.00,Communities,25/06/2021
Co-Op Food Centre,32490,2.40,People,29/06/2021
Co-Op Group 070503,26175,7.42,Communities,07/06/2021
Co-Op Group Food,28895,3.25,People,17/06/2021
Co-Operative Food,30451,18.96,People,22/06/2021
Costa @ Next 43036125,16129,12.58,People,17/06/2021
Costa Coffee,11319,3.29,People,28/06/2021
Costa Coffee 43043940,13530,2.90,People,07/06/2021
Costa Coffee Atherston,11464,3.67,People,08/06/2021
Costa Coffee Atherston,13968,10.38,People,24/06/2021
Costa Coffee Atherston,11563,4.58,People,30/06/2021
Costa Leamington Spa D,13703,2.46,People,22/06/2021
County Court,36582,215.00,People,23/06/2021
Coventry City Council,29775,3.33,Communities,10/06/2021
Coventry City Council,27717,289.86,People,14/06/2021
Crewsafe Marine Ltd,4642,470.07,Communities,09/06/2021
Cross Country Trains,8877,10.50,People,09/06/2021
Cross Country Trains,8893,12.90,People,09/06/2021
Cross Country Trains,10208,12.90,People,16/06/2021
Cross Country Trains,10224,10.50,People,16/06/2021
Cross Country Trains,7949,10.50,People,18/06/2021
Crowne Plaza,34759,1074.00,Fire and Rescue,29/06/2021
Crowne Plaza,34763,1074.00,Fire and Rescue,29/06/2021
Cs*morrisons Gift Card,1775,20.00,People,10/06/2021
Currys Online,11668,574.98,People,04/06/2021
Currys Online,4957,-574.98,People,04/06/2021
Currys Online,18458,191.66,People,25/06/2021
Currys Online,18462,261.67,People,25/06/2021
Currys S/s,21079,83.32,Communities,29/06/2021
Currys T/sales,16176,583.32,People,25/06/2021
Cvaa UK Ltd,98,195.00,People,17/06/2021
Cwikskip,1663,175.00,People,21/06/2021
D A Brockwell,4164,102.38,Communities,12/06/2021
D A Brockwell,14202,46.89,Communities,23/06/2021
Denbigh Plant Services,10781,3.60,Communities,17/06/2021
Digital Event Wlic2021,36984,55.96,Resources,30/06/2021
Direct Supply,22577,545.90,Resources,09/06/2021
Disclosure & Barring,5969,13.00,Communities,04/06/2021
Disco Bowl Nuneaton,7731,12.08,People,12/06/2021
Disco Bowl Nuneaton,7734,2.92,People,12/06/2021
Discount Flooring -Gbp,20658,242.93,People,30/06/2021
Dlvr.It,10169,14.20,Resources,06/06/2021
Dpd Wl,22104,37.79,Fire and Rescue,08/06/2021
Dreams Ltd,12581,99.00,People,23/06/2021
Dunelm,21101,42.46,People,16/06/2021
Dunelm,22993,66.67,People,29/06/2021
Dvla Driver Online,25296,20.00,People,08/06/2021
Dvla Driver Online,27180,34.00,People,09/06/2021
Dvla Driver Online,24218,34.00,People,16/06/2021
Dvla Driver Online,30084,34.00,People,24/06/2021
Dvla Vehicle Tax,22621,132.50,Communities,15/06/2021
Dvla Vehicle Tax,22625,167.50,Communities,15/06/2021
Dvla Vehicle Tax,22629,167.50,Communities,15/06/2021
Dvla Vehicle Tax,22653,277.50,Communities,15/06/2021
Dvla Vehicle Tax,22661,282.50,Communities,15/06/2021
Dvla Vehicle Tax,22709,277.50,Communities,15/06/2021
Dvla Vehicle Tax,22725,277.50,Communities,15/06/2021
Dvla Vehicle Tax,22749,277.50,Communities,15/06/2021
Dvla Vehicle Tax,24182,277.50,Communities,16/06/2021
Dvla Vehicle Tax,28973,132.50,Communities,30/06/2021
Dvla Vehicle Tax,29025,132.50,Communities,30/06/2021
Ebay O*11-07178-41995,39209,13.14,Fire and Rescue,08/06/2021
Ebay O*22-07144-00830,26955,54.23,People,01/06/2021
Ebay O*25-07269-92777,36901,41.58,Fire and Rescue,29/06/2021
Ecg Training,4978,20.83,Fire and Rescue,15/06/2021
Edenmore Guest House,10751,65.00,Resources,22/06/2021
Edf Energy-Ivr,31588,19.05,People,16/06/2021
Enterprise Rent,19360,33.62,People,15/06/2021
Enterprise Rent A Car,11490,27.21,People,04/06/2021
Enterprise Rent A Car,4850,56.47,People,05/06/2021
Enterprise Rent A Car,4853,46.02,People,05/06/2021
Enterprise Rent A Car,19508,38.71,People,08/06/2021
Enterprise Rent A Car,19747,54.92,People,09/06/2021
Enterprise Rent A Car,20420,30.26,People,16/06/2021
Enterprise Rent A Car,19199,38.95,People,17/06/2021
Enterprise Rent A Car,20375,30.26,People,24/06/2021
Enterprise Rent A Car,17473,65.21,People,25/06/2021
Enterprise Rent A Car,4994,49.42,People,26/06/2021
Enterprise Rent A Car,10305,582.19,People,30/06/2021
Enterprise Workwear Lt,10697,71.86,Communities,17/06/2021
Enviroment Agency,17238,223.00,Communities,25/06/2021
Espo,26894,158.00,Communities,24/06/2021
Espo,26898,480.83,Communities,24/06/2021
Espo,26902,255.60,Communities,24/06/2021
Espo,26906,255.60,Communities,24/06/2021
Espo,26910,372.24,Communities,24/06/2021
Espo,26914,174.12,Communities,24/06/2021
Euroffice.Co.Uk,32520,81.18,Communities,15/06/2021
Facebk *8fwtk5xdp2,38867,5.29,Resources,30/06/2021
Facebk *z2cuk6fep2,11114,700.00,Resources,12/06/2021
Facebk *z8vsz5kep2,37180,700.54,Resources,29/06/2021
Filmbank Pvsl Acc,18697,115.83,Resources,01/06/2021
Firefighter Protection,1948,207.40,Fire and Rescue,14/06/2021
Firefighter Protection,1329,200.85,Fire and Rescue,23/06/2021
Flickr Pro Monthly,41480,6.49,Resources,08/06/2021
"Formstack, Llc",40113,71.41,Resources,29/06/2021
Frame.Io,41345,152.99,Resources,08/06/2021
Franklins Sandwich,4231,102.25,Fire and Rescue,09/06/2021
Franklins Sandwich,3812,68.12,Fire and Rescue,21/06/2021
Freemans,20654,21.67,People,18/06/2021
Fs *dolphinaccess,36526,715.00,People,29/06/2021
Galleon Sup,3999,323.75,Communities,03/06/2021
Galleon Sup,9162,151.50,Communities,15/06/2021
Galleon Sup,7701,64.50,Communities,17/06/2021
Gcc - Registrars,9793,15.85,Resources,07/06/2021
