Trans No,Supplier,Amount,Directorate,Pay Date
26631,Ao Retail Limited,614.17,People,17/08/2021
25340,Ao Retail Limited,224.17,People,18/08/2021
23759,Ao Retail Limited,249.00,People,23/08/2021
24883,Ao Retail Limited,589.17,People,31/08/2021
10327,Apple.Com/Bill,2.07,Resources,30/08/2021
22844,Appliancedirect Co,190.80,Communities,11/08/2021
11752,Arc Media (Midlands) L,145.00,Communities,05/08/2021
28294,Arco Limited (Sap),24.71,Communities,31/08/2021
28294,Arco Limited (Sap),21.62,Communities,31/08/2021
28298,Arco Limited (Sap),46.70,Communities,31/08/2021
28298,Arco Limited (Sap),18.25,Communities,31/08/2021
28298,Arco Limited (Sap),53.76,Communities,31/08/2021
28298,Arco Limited (Sap),100.68,Communities,31/08/2021
28298,Arco Limited (Sap),31.75,Communities,31/08/2021
28298,Arco Limited (Sap),21.17,Communities,31/08/2021
28298,Arco Limited (Sap),21.17,Communities,31/08/2021
28298,Arco Limited (Sap),44.99,Communities,31/08/2021
28298,Arco Limited (Sap),31.76,Communities,31/08/2021
28298,Arco Limited (Sap),31.76,Communities,31/08/2021
28298,Arco Limited (Sap),14.24,Communities,31/08/2021
27591,Argos Ltd,36.67,People,03/08/2021
27503,Argos Ltd,30.78,People,03/08/2021
27587,Argos Ltd,208.95,People,03/08/2021
28279,Argos Ltd,65.79,People,05/08/2021
28283,Argos Ltd,596.64,People,05/08/2021
5784,Argos Ltd,85.00,People,06/08/2021
5228,Argos Ltd,202.95,Resources,06/08/2021
25343,Argos Ltd,44.75,People,09/08/2021
21968,Argos Ltd,166.67,People,09/08/2021
21972,Argos Ltd,131.62,People,09/08/2021
23291,Argos Ltd,149.99,People,11/08/2021
23303,Argos Ltd,63.94,People,11/08/2021
23283,Argos Ltd,209.99,Communities,11/08/2021
23839,Argos Ltd,50.82,Communities,12/08/2021
23831,Argos Ltd,322.44,People,12/08/2021
4957,Argos Ltd,20.83,People,13/08/2021
20376,Argos Ltd,-149.99,People,16/08/2021
28266,Argos Ltd,28.29,People,17/08/2021
28258,Argos Ltd,63.95,Communities,18/08/2021
28262,Argos Ltd,379.99,Communities,18/08/2021
26423,Argos Ltd,55.79,People,19/08/2021
26427,Argos Ltd,300.92,People,19/08/2021
26515,Argos Ltd,111.35,People,19/08/2021
20924,Argos Ltd,120.58,People,23/08/2021
20960,Argos Ltd,259.99,People,23/08/2021
26666,Argos Ltd,99.12,People,24/08/2021
25494,Argos Ltd,99.99,People,24/08/2021
26694,Argos Ltd,17.46,People,24/08/2021
30134,Argos Ltd,494.12,People,25/08/2021
30142,Argos Ltd,838.27,People,25/08/2021
30146,Argos Ltd,284.57,People,25/08/2021
30257,Argos Ltd,169.12,People,25/08/2021
30150,Argos Ltd,55.79,People,25/08/2021
30369,Argos Ltd,31.99,People,25/08/2021
23381,Argos Ltd,339.98,Resources,26/08/2021
23385,Argos Ltd,319.95,Resources,26/08/2021
22139,Argos Ltd,141.66,People,26/08/2021
23313,Argos Ltd,135.79,People,26/08/2021
6425,Argos Ltd,105.55,Resources,27/08/2021
6429,Argos Ltd,418.28,Resources,27/08/2021
6449,Argos Ltd,44.95,People,27/08/2021
6381,Argos Ltd,141.94,People,27/08/2021
6437,Argos Ltd,253.95,People,27/08/2021
20324,Argos Ltd,214.12,Resources,31/08/2021
20328,Argos Ltd,150.00,Resources,31/08/2021
20288,Argos Ltd,49.12,People,31/08/2021
25876,Argos Ltd,17.83,People,31/08/2021
5371,Argos Warwick,106.66,Communities,21/08/2021
27683,Aryan Garages,3.87,People,24/08/2021
8702,Asda George Com Leeds,149.45,Resources,24/08/2021
8639,Asda Groceries Online,-8.21,People,03/08/2021
8643,Asda Groceries Online,80.55,People,03/08/2021
7689,Asda Groceries Online,116.46,People,06/08/2021
7697,Asda Groceries Online,-1.00,People,06/08/2021
10254,Asda Groceries Online,43.56,People,17/08/2021
14379,Asda Petrol 5147,1.19,Fire and Rescue,16/08/2021
14755,Asda Stores 4602,9.27,People,06/08/2021
13779,Asda Stores 5757,18.33,People,27/08/2021
4356,Asda Superstore,401.50,Communities,21/08/2021
4356,Asda Superstore,506.75,Communities,21/08/2021
4360,Asda Superstore,172.40,Communities,21/08/2021
4360,Asda Superstore,156.63,Communities,21/08/2021
2626,Aspolice Dfp-Gut4k,100.00,Resources,05/08/2021
7803,Atlassian,8.77,Resources,28/08/2021
6907,B & Q 1258,2.50,Communities,21/08/2021
6907,B & Q 1258,16.23,Communities,21/08/2021
16981,B&m 017 - Bedworth,6.10,People,12/08/2021
18102,B&m 468 - Hs Nuneaton,151.89,People,26/08/2021
21997,B&q Direct,100.67,Communities,19/08/2021
8353,Bb-Speed Couriers,158.28,Resources,10/08/2021
6350,Bcc Clean Air Zone,8.00,People,11/08/2021
5720,Bed Care Ltd,1374.17,People,27/08/2021
18955,Birmingham Register,14.50,Resources,02/08/2021
27223,Booker Limited Coventr,48.93,People,31/08/2021
28215,Booker Limited Tamwort,151.35,Communities,10/08/2021
28215,Booker Limited Tamwort,73.29,Communities,10/08/2021
24486,Booker Limited Tamwort,152.00,Communities,23/08/2021
24486,Booker Limited Tamwort,63.97,Communities,23/08/2021
31788,Booker Limited Warwick,2.29,Communities,04/08/2021
22548,Bookerecomm,59.96,Resources,02/08/2021
791,Bookerecomm,86.98,Communities,06/08/2021
30774,Bookerecomm,69.76,Resources,11/08/2021
24809,Bookerecomm,117.20,Communities,13/08/2021
