Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
236078,TLC Youth Care Ltd,51425486,R5806,Residential Care,14392.68,30/08/2018,People Group
216118,TLET t/a Henry Hinde Infant School,51430523,R6107,SEN Statements Funding,7702.00,21/08/2018,Communities
207882,Tmc Design Concept Ltd,51421199,R5702,Payments to External Contractors,1950.00,16/08/2018,Communities
207882,Tmc Design Concept Ltd,51421185,R5702,Payments to External Contractors,2000.00,16/08/2018,Communities
207882,Tmc Design Concept Ltd,51421201,R5702,Payments to External Contractors,5223.00,16/08/2018,Communities
221828,TMP (UK) Ltd,51420098,R1408,Other Staffing Costs,630.00,15/08/2018,Resources
221828,TMP (UK) Ltd,51414311,R4441,Professional Fees,745.79,01/08/2018,Resources
221828,TMP (UK) Ltd,51424698,R1408,Other Staffing Costs,815.00,29/08/2018,Communities
221828,TMP (UK) Ltd,51424691,R1408,Other Staffing Costs,815.00,29/08/2018,Communities
221828,TMP (UK) Ltd,51414347,R4441,Professional Fees,831.28,01/08/2018,Resources
221828,TMP (UK) Ltd,51423428,R1408,Other Staffing Costs,1345.00,22/08/2018,Resources
221828,TMP (UK) Ltd,51419077,R1408,Other Staffing Costs,1850.00,07/08/2018,People Group
221828,TMP (UK) Ltd,51420089,R1408,Other Staffing Costs,2430.00,15/08/2018,Communities
221828,TMP (UK) Ltd,51421304,R1408,Other Staffing Costs,7010.00,07/08/2018,Resources
221828,TMP (UK) Ltd,51414302,R4301,"Advertising, Publicity & Promotion",16074.00,01/08/2018,Resources
221828,TMP (UK) Ltd,51424677,R4301,"Advertising, Publicity & Promotion",25962.00,29/08/2018,Resources
999982,TMS Ltd,51427999,R4928,Other Insurance Claims,528.27,10/08/2018,Other Services
225604,Together for Mental Wellbeing,51416234,R5807,Social Care Block Contracts,36140.97,03/08/2018,People Group
225604,Together for Mental Wellbeing,51424853,R5807,Social Care Block Contracts,36140.97,29/08/2018,People Group
218573,Total Care Matters Ltd,51414235,R5806,Residential Care,12642.85,01/08/2018,People Group
218573,Total Care Matters Ltd,51426168,R5806,Residential Care,13064.38,10/08/2018,People Group
206314,Total Gas & Power Ltd,51421259,R2102,Energy Costs,522.45,10/08/2018,Resources
206314,Total Gas & Power Ltd,51421152,R2102,Energy Costs,524.27,10/08/2018,Resources
206314,Total Gas & Power Ltd,51421294,R2102,Energy Costs,525.52,10/08/2018,Resources
206314,Total Gas & Power Ltd,51426569,R2102,Energy Costs,533.31,20/08/2018,Resources
206314,Total Gas & Power Ltd,51423078,R2102,Energy Costs,541.95,10/08/2018,Schools
206314,Total Gas & Power Ltd,51421363,R2102,Energy Costs,552.51,10/08/2018,Resources
206314,Total Gas & Power Ltd,51421343,R2102,Energy Costs,564.58,10/08/2018,Resources
206314,Total Gas & Power Ltd,51431404,R2102,Energy Costs,585.86,28/08/2018,Resources
206314,Total Gas & Power Ltd,51431205,R2102,Energy Costs,590.23,28/08/2018,Schools
206314,Total Gas & Power Ltd,51426570,R2102,Energy Costs,593.58,20/08/2018,Resources
206314,Total Gas & Power Ltd,51421366,R2102,Energy Costs,601.93,10/08/2018,Resources
206314,Total Gas & Power Ltd,51421373,R2102,Energy Costs,607.97,10/08/2018,Resources
206314,Total Gas & Power Ltd,51421164,R2102,Energy Costs,612.44,10/08/2018,Resources
206314,Total Gas & Power Ltd,51421374,R2102,Energy Costs,615.83,10/08/2018,Resources
206314,Total Gas & Power Ltd,51422944,R2102,Energy Costs,619.83,10/08/2018,Schools
206314,Total Gas & Power Ltd,51429846,R2102,Energy Costs,637.94,28/08/2018,Schools
