Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
200429,Argos Business Solutions Ltd (****9518),51228980,R4008,Equipment,1509.57,04/07/2017,Resources
200429,Argos Business Solutions Ltd (****9518),51237700,R4008,Equipment,676.07,18/07/2017,Resources
999982,Arley & St Michael's Community Centre,51246787,R5501,Grants / Donations to External Organisations,1000,11/07/2017,Communities
200438,Arnold Lodge Preparatory School,51248829,R6107,SEN Statements Funding,3292,14/07/2017,Communities
200438,Arnold Lodge Preparatory School,51248823,R6107,SEN Statements Funding,2920,14/07/2017,Communities
233778,Arnold Plant Hire Ltd,51248438,R4008,Equipment,5500,28/07/2017,Communities
233778,Arnold Plant Hire Ltd,51248437,R4008,Equipment,3470,28/07/2017,Communities
200441,Arriva Midlands North Ltd (****4814),51250740,R5704,Public Transport,16400,18/07/2017,Communities
213431,Ash Green School & Arts College (Academy),51252077,R6107,SEN Statements Funding,1635,20/07/2017,Communities
208346,Ashe Construction Ltd,51248954,C1030,"New Construction, Conversion & Renovation",4358.12,17/07/2017,Capital
208346,Ashe Construction Ltd,51246518,C1030,"New Construction, Conversion & Renovation",248000,18/07/2017,Capital
209807,Ashlawn School Academy Trust,51252104,R6107,SEN Statements Funding,7925,20/07/2017,Communities
209807,Ashlawn School Academy Trust,51256492,R5501,Grants / Donations to External Organisations,3000,31/07/2017,Communities
200465,Ashleigh Nursery School,51237957,R6106,Early Years Funding (PVIs and LA),15235.2,03/07/2017,Communities
200468,Askews And Holts Library Services Ltd.,51244528,R4058,"Books, Newspapers & Publications",10113.14,05/07/2017,Resources
200468,Askews And Holts Library Services Ltd.,51248104,R4058,"Books, Newspapers & Publications",13792.38,13/07/2017,Resources
200468,Askews And Holts Library Services Ltd.,51251848,R4058,"Books, Newspapers & Publications",4556.81,20/07/2017,Resources
200468,Askews And Holts Library Services Ltd.,51253667,R4058,"Books, Newspapers & Publications",8566.6,25/07/2017,Resources
200468,Askews And Holts Library Services Ltd.,51256454,R4058,"Books, Newspapers & Publications",2543.88,27/07/2017,Resources
231102,Askham Village Community Ltd,51255068,R5806,Residential Care,5469.32,27/07/2017,People Group
226763,Aspect Care Home Ltd,51255069,R5806,Residential Care,3028.48,27/07/2017,People Group
200472,Aspire People Ltd,51233419,R1101,Agency Staff Pay,975,13/07/2017,Schools
200472,Aspire People Ltd,51233424,R1101,Agency Staff Pay,1000,13/07/2017,Schools
200472,Aspire People Ltd,51238136,R1101,Agency Staff Pay,975,14/07/2017,Schools
200472,Aspire People Ltd,51232930,R1101,Agency Staff Pay,945,14/07/2017,Schools
200472,Aspire People Ltd,51242464,R1101,Agency Staff Pay,975,28/07/2017,Schools
214538,Aspire Sports Health & Fitness Ltd,51231843,R4433,SCHOOLS ONLY Sport Instruction,514.28,13/07/2017,Schools
