Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
206178,The Priors Education Trust (PET),51576468,R6106,Early Years Funding (PVIs and LA),"4,357.58",15/11/2019,Communities,
218580,The Priors School - Free School,51580053,R6107,SEN Statements Funding,"1,725.00",22/11/2019,Communities,
206180,The Professional Promotion Company Ltd,51565994,R4310,"Printing, Photocopying and Reprographics",828.00,08/11/2019,Resources,
222563,The Providence Projects Rehab Group Ltd,51568613,R5702,Payments to External Contractors,"2,567.14",18/11/2019,Communities,
206183,The Purple Playhouse,51576434,R6106,Early Years Funding (PVIs and LA),"7,236.18",15/11/2019,Communities,
206183,The Purple Playhouse,51576948,R6106,Early Years Funding (PVIs and LA),"7,406.00",19/11/2019,Communities,
226251,The Queen Elizabeth School - Academy,51580035,R6107,SEN Statements Funding,"3,885.00",22/11/2019,Communities,
206184,The Railway Children Nursery,51577586,R6106,Early Years Funding (PVIs and LA),666.54,19/11/2019,Communities,
224402,The Research Solution Ltd,51569494,R4409,Consultancy,"1,000.00",22/11/2019,Communities,
239103,The Riot Act Ltd,51563119,R4301,"Advertising, Publicity & Promotion","10,200.00",01/11/2019,Communities,
239103,The Riot Act Ltd,51571604,R4301,"Advertising, Publicity & Promotion","3,060.00",22/11/2019,Communities,
206191,The Rowan Organisation,51573225,R5807,Social Care Block Contracts,"5,542.62",29/11/2019,People,
206195,The Rugby Montessori Nursery School,51576413,R6106,Early Years Funding (PVIs and LA),"8,102.56",15/11/2019,Communities,
233222,The Secret Garden Project,51567715,R5702,Payments to External Contractors,"9,100.00",08/11/2019,Communities,
223271,The Share Foundation,51574796,R5804,Foster Care Payments,"2,070.15",07/11/2019,People,
206204,The Spring Playgroup Charity,51576878,R6106,Early Years Funding (PVIs and LA),"1,133.12",19/11/2019,Communities,
226255,The Stour Federation (Acorns Primary) - Academy,51576786,R1408,Other Staffing Costs,"1,700.00",14/11/2019,Schools,
226255,The Stour Federation (Acorns Primary) - Academy,51576499,R6106,Early Years Funding (PVIs and LA),"3,060.29",15/11/2019,Communities,
226255,The Stour Federation (Acorns Primary) - Academy,51576502,R6106,Early Years Funding (PVIs and LA),"2,910.60",15/11/2019,Communities,
226256,The Stour Federation (Stour Primary) - Academy,51580041,R6107,SEN Statements Funding,"3,993.00",22/11/2019,Communities,
238696,The Training Hub Ltd,51567758,R5802,Substitute Care,"4,000.00",14/11/2019,People,
206220,The Tree House Pre-School,51576463,R6106,Early Years Funding (PVIs and LA),"36,279.02",15/11/2019,Communities,
206220,The Tree House Pre-School,51576858,R6106,Early Years Funding (PVIs and LA),"5,924.80",19/11/2019,Communities,
231730,The UK Interactive Entertainment Association Ltd,51569072,R5501,Grants / Donations to External Organisations,"25,000.00",07/11/2019,Communities,
