unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number_or_numbers,street_name,postal_town,uk_postcode,easting,northing,tenure,tenure_characteristics,land_only,size_of_asset,size_units,effective_service_delivery_government_services_function,reason_for_holding_asset,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating
"100071399508","3011","Land Adjoining Church Room","","Broad Street","Brinklow","CV23 0LS",443500,279430,"Freehold","Occupied by the Local Authority","Land only",0.07,"Hectares","Licences, permits and permissions","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071399761","3012","The Revel C.E. (Aided) Primary School Annexe","","The Crescent","Brinklow","CV23 0LR",443731,279673,"Other","Vested in Trustees","Land with a permanent building",288.31,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",41912.42,"Not Currently Available","n/a"
"100071502732","3016","Clifton-Upon-Dunsmore C. of E. Primary School","","Station Road","Clifton Upon Dunsmore","CV23 0BT",452820,276330,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1223.76,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",200221.28,"Not Currently Available","n/a"
"10010517088","3019","Land at Former Church Lawford CE First School","","School Street","Church Lawford","CV23 9EE",444908,276364,"Freehold","Part or Wholly let out on Leasehold or Licence","Land only",0.11,"Hectares","Licences, permits and permissions","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"200002966344","3020","Church Lawford Business Centre","","Limestone Hall Lane","Church Lawford","CV23 9HD",444450,276030,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",448.78,"Sq.m","Transport and highways","To Follow","n/a","Not Currently Available",3220.07,"Not Currently Available","n/a"
"10010504158","3021","Blue Boar Farm","","Lawford Heath Lane","Thurlaston","CV23 9LH",444950,272598,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",2198.25,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",31801.60,"Not Currently Available","n/a"
"100071503458","3022","Blue Boar Farm","","London Road","Dunchurch","CV23 9LH",445225,272095,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",1443.84,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",70850.80,"Not Currently Available","n/a"
"10010517089","3023","Blue Boar Farm (Holding S13/1)","Blue Boar Farm Holding S13-1","Straight Mile","Bourton-On-Dunsmore","CV23 9JR",444917,271865,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",1.66,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071502234","3024","Dunkleys Farm","","Cawston Lane","Dunchurch","CV22 7RX",448248,272407,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",4807.94,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",119817.40,"Not Currently Available","n/a"
"100071501549","3025","Cherry Tree Farm","","Northampton Lane","Dunchurch","CV22 6QJ",448346,272003,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",2262.37,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",26925.26,"Not Currently Available","n/a"
"100071238142","3027","Homestead Farm","","Coventry Road","Dunchurch","CV22 6RB",448069,271588,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",1.14,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071238143","3028","Homestead Farm Cottage","","Coventry Road","Dunchurch","CV22 6RB",448133,271650,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",228.73,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",11468.70,"Not Currently Available","n/a"
"10010517090","3029","Homestead Farm","","Coventry Road","Dunchurch","CV22 6RE",448035,271471,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",1.03,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071502007","3032","Dunchurch Boughton C. of E. (V.A.) Junior School","","Dew Close","Dunchurch","CV22 6NE",448120,271273,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1379.28,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",184800.79,"Not Currently Available","E"
"100071502027","3033","Dunchurch Infant School (Foundation)","","School Street","Dunchurch","CV22 6PA",448195,271251,"Other","Vested in Trustees","Land with a permanent building",1131.53,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",143335.83,"Not Currently Available","F"
"100071502020","3035","Dunchurch Community Managed Library","","The Green","Dunchurch","CV22 6PA",448377,271232,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",132.75,"Sq.m","Leisure and culture","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
