unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number_or_numbers,street_name,postal_town,uk_postcode,easting,northing,tenure,tenure_characteristics,land_only,size_of_asset,size_units,effective_service_delivery_government_services_function,reason_for_holding_asset,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating
"100071399997","4129","Long Itchington C.E. Primary School","","Stockton Road","Long Itchington","CV47 9QP",442050,264910,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1368.87,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",123602.40,"Not Currently Available","D"
"10024634710","4130","Stratford Upon Avon The Greenway","","Wyre Lane","Stratford-Upon-Avon","n/a",415760,248500,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",171.00,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071399999","4131","Loxley C.E. Primary School","","Main Road","Loxley","CV35 9JT",425650,252610,"Other","Vested in Trustees","Land with a permanent building",242.86,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",35973.20,"Not Currently Available","F"
"10024634681","4132","Parish Council Allotments","","Moreton Road","Moreton Morrell","CV35 9AR",431060,255880,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",0.16,"Hectares","Environmental protection","To Follow","Yes","Not Currently Available",0.00,"Not Currently Available","n/a"
"10024634682","4133","Land Off Brook Lane","","Brook Lane","Moreton Morrell","CV35 9AT",431528,255914,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",10.24,"Sq.m","Environmental protection","To Follow","Yes","Not Currently Available",0.00,"Not Currently Available","n/a"
"10023581195","4135","Moreton Morrell C.E. Primary School (Foundation)","","Moreton Road","Moreton Morrell","CV35 9AN",431170,255820,"Other","Vested in Trustees","Land with a permanent building",541.77,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",110140.35,"Not Currently Available","F"
"10024632776","4140","Northfields Farm","","Shuckburgh Road","Priors Marston","CV47 7RY",449021,258998,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",1710.98,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",35837.97,"Not Currently Available","n/a"
"10023587766","4144","Quinton Primary School","","Main Street","Lower Quinton","CV37 8SA",417750,247220,"Freehold","Occupied by the Local Authority","Land with a permanent building",1312.96,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",144843.11,"Not Currently Available","E"
"100071241909","4148","The Homelands","","Evesham Road","Salford Priors","WR11 8UU",407203,250549,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",1097.11,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",44110.36,"Not Currently Available","n/a"
"10024634683","4149","Land at Rushford Plantation","","Salford Road","Pitchill, Salford Priors","WR11 8SN",406259,251174,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",9.85,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"10023384794","4151","Salford Farm","1","Salford Road","Iron Cross, Salford Priors","WR11 8SH",406156,252372,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",421.33,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",12303.37,"Not Currently Available","n/a"
"100071241948","4152","Lower Farm","","School Road","Salford Priors","WR11 8XN",406411,251864,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",1413.33,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",48509.02,"Not Currently Available","n/a"
"10024634684","4153","Land At Salford Farm (Holding S45/4)","","School Road","Salford Priors","WR11 8XN",406343,252203,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",0.00,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"10024634686","4154","Park Hall Allotments","","Tothall Lane","Salford Priors","WR11 8XN",406649,251888,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",0.00,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071545635","4155","Salford Farm Cottage","","School Road","Salford Priors","WR11 8XN",406412,252065,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",217.62,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",13690.54,"Not Currently Available","n/a"
"10024634687","4156","School Allotments","","Ridsdale Close","Salford Priors","WR11 8XP",407200,251820,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",0.00,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"10024634688","4157","Land At Salford Farm (Holding S45/11)","","School Road","Salford Priors","WR11 8SN",406390,251780,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",0.00,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071545639","4158","Salford Priors C.E. Primary School","","School Road","Salford Priors","WR11 8XD",407200,251520,"Freehold","Occupied by the Local Authority","Land with a permanent building",925.00,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",144024.23,"Not Currently Available","n/a"
"200001850481","4159","Dunnington C.of E. (V.A.) Primary School","","Dunnington Road","Dunnington","B49 5NT",406810,253690,"Other","Vested in Trustees","Land with a permanent building",832.63,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",81216.38,"Not Currently Available","n/a"
"10023382757","4162","Oldhouse Farm","","Heath End","Snitterfield","CV37 0PL",423197,260669,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",1933.50,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",21461.98,"Not Currently Available","n/a"
"10023588112","4163","Oldhouse Farm Cottage","","Heath End","Snitterfield","CV37 0PL",423203,260670,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",192.43,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",11607.22,"Not Currently Available","n/a"
"10023588103","4164","Oldhouse Farm, 1 Heath End Cottage  (inc. in 4162)","1","Heath End","Snitterfield","CV37 0PL",422973,260985,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",125.72,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",72057.72,"Not Currently Available","n/a"
"10024634690","4166","Land at Oldhouse Farm (Holding S47/3)","","Heath End","Snitterfield","CV37 0PJ",422564,260736,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",0.00,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071400049","4168","Snitterfield Primary School","","School Road","Snitterfield","CV37 0JL",421300,259910,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",883.35,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",94597.53,"Not Currently Available","D"
"100071242806","4173","Southam College","","Welsh Road West","Southam","CV47 0JW",441450,262300,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",11243.24,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1274078.99,"Not Currently Available","B, D"
"100071400067","4174","St James (Voluntary Aided) CE Primary School","","Tollgate Road","Southam","CV47 1EE",441910,262230,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1042.37,"Sq.m","Education and learning","To Follow","Yes","Not Currently Available",156310.27,"Not Currently Available","F"
"100071400065","4176","Southam Primary School","","St James Road","Southam","CV47 0QB",441650,262140,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1929.52,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",497234.03,"Not Currently Available","D"
"200002868696","4178","St Mary's Catholic Primary School","","Daventry Road","Southam","CV47 1PS",442060,261880,"Other","Vested in Trustees","Land with a permanent building",1423.10,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",167637.47,"Not Currently Available","D"
"100071509345","4180","Southam Library","","High Street","Southam","CV47 0HB",441860,261830,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",290.24,"Sq.m","Leisure and culture","To Follow","n/a","Not Currently Available",136375.87,"Not Currently Available","n/a"
"100071400052","4185","Southam Fire Station","","Coventry Street","Southam","CV47 0EL",441900,262080,"Freehold","Occupied by the Local Authority","Land with a permanent building",168.21,"Sq.m","Community safety","To Follow","n/a","Not Currently Available",69803.41,"Not Currently Available","n/a"
"10023386524","4187","The Grange","","Coventry Road","Southam","CV47 1QB",441790,262290,"Leasehold","Occupied by the Local Authority","Land with a permanent building",48.13,"Sq.m","Government, citizens and rights","To Follow","n/a","Not Currently Available",14101.11,"Not Currently Available","n/a"
"10023586470","4191","Shipston High School, Spec. Tech.Coll (Academy)","","Darlingscote Road","Shipston-On-Stour","CV36 4DY",425200,240850,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",4873.54,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1096830.24,"Not Currently Available","E"
"10024634535","4192","The Outhouse at Shipston High School (Academy)","","Darlingscote Road","Shipston-On-Stour","CV36 4DY",425140,240840,"Freehold","Occupied by the Local Authority","Land with a permanent building",154.77,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",24384.29,"Not Currently Available","n/a"
"100071400038","4193","Shipston Primary School (Academy)","","Station Road","Shipston-On-Stour","CV36 4BT",425660,240970,"Other","Vested in Trustees","Land with a permanent building",2350.55,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",525008.41,"Not Currently Available","D"
"100071512534","4194","Shipston on Stour Library & Information Centre","12","Church Street","Shipston-On-Stour","CV36 4AP",425910,240570,"Leasehold","Occupied by the Local Authority","Land with a permanent building",207.84,"Sq.m","Leisure and culture","To Follow","n/a","Not Currently Available",16356.76,"Not Currently Available","n/a"
"100071400040","4199","Shipston-On-Stour Fire Station","","Telegraph Street","Shipston-On-Stour","CV36 4DA",425700,240690,"Freehold","Occupied by the Local Authority","Land with a permanent building",242.76,"Sq.m","Community safety","To Follow","n/a","Not Currently Available",25182.72,"Not Currently Available","n/a"
"100071399866","4204","Shipston-On-Stour Highways Sub-Depot","","Brailes Road","Barcheston","CV36 5AD",426220,240360,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",669.44,"Sq.m","Government, citizens and rights","To Follow","n/a","Not Currently Available",151608.90,"Not Currently Available","n/a"
"100071400080","4206","Stockton Primary School","","School Street","Stockton","CV47 8JE",443680,263700,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",815.74,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",135799.85,"Not Currently Available","D"
"10023385523","4208","Stockton Household Waste Recycling Centre","","Napton Road","Stockton","CV47 8LA",443630,264750,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",27.38,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",5285.93,"Not Currently Available","n/a"
"10024634692","4209","Stockton Former Landfill Site","","Rugby Road","Stockton","CV47 8LA",443520,264500,"Freehold","Occupied by the Local Authority","Land only",6.62,"Hectares","Government, citizens and rights","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"n/a","4210","Stockton Cutting Local Nature Reserve","","Rugby Road","Stockton","n/a",443850,265020,"Freehold","Part or Wholly let out on Leasehold or Licence","Land only",0.78,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"10023753573","4213","Tiddington Land At Knights Lane","","Knights Lane","Tiddington","CV37 7BZ",422230,255150,"Freehold","Part or Wholly let out on Leasehold or Licence","Land only",4.42,"Hectares","Licences, permits and permissions","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071400085","4216","Stratford-Upon-Avon High School (Academy)","","Alcester Road","Stratford-Upon-Avon","CV37 9DH",419200,255080,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",14892.98,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",898395.80,"Not Currently Available","B, D"
"10023585392","4219","The Willows C. of E. Primary School","","The Willows North","Stratford-Upon-Avon","CV37 9QN",419250,254950,"Freehold","Occupied by the Local Authority","Land with a permanent building",2679.91,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",213662.63,"Not Currently Available","C"
"100071400203","4221","Stratford upon Avon Grammar Sch. for Girls (Acad)","","Shottery","Shottery","CV37 9HA",418950,254670,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",5919.50,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",905523.45,"Not Currently Available","D"
"100071514872","4223","Bishopton Primary School","","Drayton Avenue","Stratford-Upon-Avon","CV37 9PB",418410,255680,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1443.56,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",349704.28,"Not Currently Available","D"
"100071400162","4224","Alveston C.of E. Primary School","","Knights Lane","Tiddington","CV37 7BZ",422260,255330,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1529.05,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",259254.47,"Not Currently Available","D"
"100071400152","4225","Thomas Jolyffe Primary School","","Clopton Road","Stratford-Upon-Avon","CV37 6TE",420050,256040,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2469.74,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",543676.11,"Not Currently Available","E"
"10023385049","4226","Welcombe Hills School  (Blue Cap Road)","","Blue Cap Road","Stratford-Upon-Avon","CV37 6TQ",420160,256140,"Freehold","Occupied by the Local Authority","Land with a permanent building",3436.46,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",120000.00,"Not Currently Available","D"
"100071514109","4227","King Edward VI School (Academy)","","Church Street","Stratford-Upon-Avon","CV37 6HB",420080,254680,"Other","Vested in Trustees","Land with a permanent building",8647.71,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",1184395.25,"Not Currently Available","B, D"
"100071400147","4228","Bridgetown Primary School","","Byron Road","Stratford-Upon-Avon","CV37 7JP",420990,254150,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2419.27,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",235189.54,"Not Currently Available","C"
"100071400144","4229","Stratford-Upon-Avon Primary School","","Broad Street","Stratford-Upon-Avon","CV37 6HN",419790,254630,"Freehold","Occupied by the Local Authority","Land with a permanent building",1237.82,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",150286.96,"Not Currently Available","E"
"100071400094","4230","St Gregory's Catholic Primary School","","Avenue Road","Stratford-Upon-Avon","CV37 6UZ",420310,255350,"Freehold","Occupied by the Local Authority","Land with a permanent building",1738.66,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",399404.03,"Not Currently Available","D"
"100071400159","4231","Shottery St Andrew's C.E. Primary School","","Hathaway Lane","Stratford-Upon-Avon","CV37 9BL",418670,254620,"Freehold","Occupied by the Local Authority","Land with a permanent building",307.56,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",68979.07,"Not Currently Available","n/a"
"10024634696","4233","Stratford-Upon-Avon Youth Service Store","10","Hertford Road","Stratford-Upon-Avon","CV37 9AN",419532,254106,"Leasehold","Occupied by the Local Authority","Land with a permanent building",21.37,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",909.18,"Not Currently Available","n/a"
"100071513506","4234","Stratford-Upon-Avon Library & Information Centre","12","Henley Street","Stratford-Upon-Avon","CV37 6PZ",420090,255090,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1195.31,"Sq.m","Leisure and culture","To Follow","n/a","Not Currently Available",176800.73,"Not Currently Available","C"
"10023587211","4235","Burton Farm Household Waste Recycling Centre","","Burton Farm Road","Bishopton","CV37 0RW",417990,256811,"Leasehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",186.19,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",7024.47,"Not Currently Available","n/a"
"100071400170","4245","Stratford-Upon-Avon Fire Station","","Masons Road","Stratford-Upon-Avon","CV37 9NA",419300,255240,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",814.71,"Sq.m","Community safety","To Follow","n/a","Not Currently Available",166836.32,"Not Currently Available","C"
"100071361618","4248","Welcombe Hills School (Drayton Avenue)","185","Drayton Avenue","Stratford-Upon-Avon","CV37 9LD",418360,255740,"Freehold","Occupied by the Local Authority","Land with a permanent building",651.10,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",94191.98,"Not Currently Available","n/a"
"100071514879","4255","The Saltway Centre & Stratford Family Centre","","Alcester Road","Stratford-Upon-Avon","CV37 9DD",418800,255220,"Freehold","Occupied by the Local Authority","Land with a permanent building",725.99,"Sq.m","Health and social care","To Follow","n/a","Not Currently Available",42109.22,"Not Currently Available","D"
"100071487651","4263","Studley Community Infant School","","High Street","Studley","B80 7HJ",407190,263830,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1459.99,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",120455.54,"Not Currently Available","E"
"100071487652","4264","The Studley Centre","Withheld","Withheld","Withheld","B80",0,0,"Freehold","Vacant","Land with a permanent building",381.81,"Sq.m","Government, citizens and rights","To Follow","Yes","Not Currently Available",104996.66,"Not Currently Available","n/a"
"100071400268","4266","Studley High School (Academy)","","Crooks Lane","Studley","B80 7QX",407050,263440,"Other","Vested in Trustees","Land with a permanent building",5795.93,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",753911.37,"Not Currently Available","D"
"100071400273","4267","Studley St. Mary's CE (VA) Junior School (Academy)","","New Road","Studley","B80 7ND",407240,263350,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1433.74,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",522570.10,"Not Currently Available","C"
"10023588754","4268","St. Mary's Catholic Primary School","","Pool Road","Studley","B80 7QU",407070,263620,"Freehold","Occupied by the Local Authority","Land with a permanent building",1536.80,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",270050.82,"Not Currently Available","E"
"10023588938","4271","Mappleborough Green C. E. Primary School","","Henley Road","Mappleborough Green","B80 7DR",408560,266730,"Both Freehold & Leasehold","Occupied by the Local Authority","Land with a permanent building",698.37,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",102798.00,"Not Currently Available","n/a"
"100071400294","4279","Tanworth-In-Arden C.E. Primary (Academy) School","","The Green","Tanworth-In-Arden","B94 5AJ",411410,270570,"Other","Vested in Trustees","Land with a permanent building",1584.31,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",328496.60,"Not Currently Available","D"
"10024634697","4281","Land At Church Farm","","Dove Lane","Temple Grafton","B49 6NU",412510,254940,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land only",3.72,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"10023583593","4284","Temple Grafton C.E. Primary School","","Church Bank","Temple Grafton","B49 6NU",412300,254790,"Freehold","Occupied by the Local Authority","Land with a permanent building",734.23,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",123590.82,"Not Currently Available","C"
"100071400296","4285","Newbold & Tredington C.E. Primary School","","Manor Farm Road","Tredington","CV36 4NZ",425510,243480,"Freehold","Occupied by the Local Authority","Land with a permanent building",534.67,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",718.19,"Not Currently Available","n/a"
"10070379246","4286","Newbold & Tredington C.E. Primary School","","Moss Lane","Newbold-On-Stour","CV37 8TU",424660,246200,"Other","Vested in Trustees","Land with a permanent building",278.97,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",33015.49,"Not Currently Available","n/a"
"100071511136","4287","Herberts Farm","","Saddledon Street","Tysoe","CV35 0SH",434036,244344,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",2943.03,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",54011.79,"Not Currently Available","n/a"
"100071511138","4288","Herberts Farm Cottage","","Saddledon Street","Tysoe","CV35 0SH",434042,244361,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",168.15,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",20487.24,"Not Currently Available","n/a"
"n/a","4289","Land at Hopkins Farm (Holding S51/6)","","Lower Tysoe Road","Tysoe","CV35 0BN",435162,245430,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",62.08,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"10023581121","4290","Hopkins Farm","","Lower Tysoe Road","Lower Tysoe","CV35 0BN",434493,245062,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",2948.32,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",43323.06,"Not Currently Available","n/a"
"100071511448","4294","Tysoe C.E. Primary School","","School Lane","Tysoe","CV35 0SD",434030,244440,"Freehold","Occupied by the Local Authority","Land with a permanent building",1487.41,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",204403.86,"Not Currently Available","E"
"100071511422","4295","Tysoe Childrens Group Ltd.","","Main Street","Middle Tysoe, Tysoe","CV35 0SR",433950,244050,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",212.81,"Sq.m","Licences, permits and permissions","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"10023391536","4296","Ufton Fields Nature Reserve","","Ufton Fields","Ufton","CV33 9PU",438180,261470,"Freehold","Part or Wholly let out on Leasehold or Licence","Land only",32.20,"Hectares","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071400310","4298","Welford-On-Avon Primary School","","Headland Road","Welford-On-Avon","CV37 8ER",414590,251980,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1271.06,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",130934.12,"Not Currently Available","n/a"
"100071241484","4301","Carpenters Farm","","Banbury Road","Warmington","OX17 1JJ",441036,246865,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",1562.88,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",48600.24,"Not Currently Available","n/a"
"100071400322","4302","Wellesbourne C.E. Primary School","","Mountford Close","Wellesbourne","CV35 9QG",428250,255490,"Freehold","Occupied by the Local Authority","Land with a permanent building",1664.97,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",338311.62,"Not Currently Available","C"
"10024634631","4303","Wellesbourne C.E. Primary School Annexe","","Mountford Close","Wellesbourne","CV35 9QQ",428380,255600,"Freehold","Occupied by the Local Authority","Land with a permanent building",853.52,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",81092.76,"Not Currently Available","D"
"100071400313","4305","Wellesbourne Library & Information Centre","","Kineton Road","Wellesbourne","CV35 9NF",428100,255340,"Freehold","Occupied by the Local Authority","Land with a permanent building",248.92,"Sq.m","Leisure and culture","To Follow","n/a","Not Currently Available",11385.17,"Not Currently Available","n/a"
"10023382165","4308","Wellesbourne Divisional Highways Depot","","Loxley Road","Wellesbourne","CV35 9JL",427200,254810,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",452.91,"Sq.m","Government, citizens and rights","To Follow","n/a","Not Currently Available",62444.87,"Not Currently Available","n/a"
"10024634700","4309","Wellesbourne C F M Workshops","","Loxley Road","Wellesbourne","CV35 9QZ",427214,254771,"Freehold","Occupied by the Local Authority","Land with a permanent building",784.91,"Sq.m","Transport and highways","To Follow","n/a","Not Currently Available",101427.83,"Not Currently Available","n/a"
"10023389676","4313","Pound Close","","Grafton Road","Wixford","B49 6DG",409294,254517,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",77.05,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071491687","4314","Wootton Wawen C.E. Primary School","","Alcester Road","Wootton Wawen","B95 6AY",414920,263220,"Freehold","Occupied by the Local Authority","Land with a permanent building",926.72,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",137316.95,"Not Currently Available","D"
"10023581394","4316","Wolverton Primary School (Foundation)","","Wolverton Fields","Norton Lindsey","CV35 8JN",421810,263310,"Other","Vested in Trustees","Land with a permanent building",578.20,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",72113.55,"Not Currently Available","n/a"
"10023755465","4319","Smallbrook Business Centre","","Waterloo Industrial Estate","Bidford On Avon","B50 4JE",410450,252830,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1055.15,"Sq.m","Transport and highways","To Follow","n/a","Not Currently Available",62876.43,"Not Currently Available","n/a"
"100071512194","5003","Barford St Peters CE Primary School","","Church Street","Barford","CV35 8EW",427140,260770,"Freehold","Occupied by the Local Authority","Land with a permanent building",1161.13,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",249237.73,"Not Currently Available","D"
"100071509615","5006","Bishop's Tachbrook CE Primary School","","Kingsley Road","Bishops Tachbrook","CV33 9RY",431030,261080,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",1338.09,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","E"
"10013180603","5009","Budbrooke Primary School (Academy)","","Styles Close","Hampton Magna, Budbrooke","CV35 8TP",425910,265020,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2094.81,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",407554.01,"Not Currently Available","D, E"
"100071511488","5010","Trading Standards Headquarters","","Old Budbrooke Road","Budbrooke, Warwick","CV35 7DP",426620,265680,"Freehold","Occupied by the Local Authority","Land with a permanent building",1361.92,"Sq.m","Government, citizens and rights","To Follow","n/a","Not Currently Available",58649.81,"Not Currently Available","D"
"10013185104","5011","Budbrooke Office (Balfour Beatty)","","Old Budbrooke Road","Budbrooke, Warwick","CV35 7DP",426620,265730,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",326.47,"Sq.m","Government, citizens and rights","To Follow","n/a","Not Currently Available",37077.81,"Not Currently Available","n/a"
"10013183461","5012","Budbrooke County Highways Head Office","","Old Budbrooke Road","Budbrooke, Warwick","CV35 7DU",426615,265640,"Freehold","Occupied by the Local Authority","Land with a permanent building",489.78,"Sq.m","Government, citizens and rights","To Follow","n/a","Not Currently Available",107014.97,"Not Currently Available","n/a"
"10013183461","5013","Budbrooke Highways Depot","","Old Budbrooke Road","Budbrooke, Warwick","CV35 7DU",426600,265600,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",67.90,"Sq.m","Government, citizens and rights","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"n/a","5014","Budbrooke Chipping Store","","Old Budbrooke Road","Budbrooke","n/a",425514,264931,"Leasehold","Occupied by the Local Authority","Land only",0.71,"Hectares","Transport and highways","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071508891","5015","Cubbington CE Primary School","","Church Hill","Cubbington, Leamington Spa","CV32 7JY",434490,268300,"Freehold","Occupied by the Local Authority","Land with a permanent building",1546.47,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",508743.93,"Not Currently Available","D"
"100071508892","5016","Our Lady & St Teresa's Catholic Primary School","","Windmill Hill","Cubbington, Leamington Spa","CV32 7LN",433650,268300,"Freehold","Occupied by the Local Authority","Land with a permanent building",1309.38,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",238041.51,"Not Currently Available","D"
"n/a","5020","Cubbington Road Materials Store","","Leicester Lane","Cubbington","CV32 6QY",433203,269325,"Leasehold","Occupied by the Local Authority","Land only",2.12,"Hectares","Transport and highways","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
