SOA Code,SOA Name,Ward Name,Locality,District/Borough,JSA Claimants June 2008,JSA Claimants June 2009,Working Age Population,JSA Claimant Count Rate June 2008,JSA Claimant Count Rate June 2009
E01031255,Castle Green & Malthouse,Abbey,Kenilworth ,Warwick,8,11,841,1.0%,1.3%
E01031256,Abbey Fields,Abbey,Kenilworth ,Warwick,9,17,932,1.0%,1.8%
E01031257,Abbey East,Abbey,Kenilworth ,Warwick,23,22,973,2.4%,2.3%
E01031258,Town Centre North,Abbey,Kenilworth ,Warwick,3,10,902,0.3%,1.1%
E01031259,Bishops Tachbrook North & Warwick Gates,Bishops Tachbrook,Warwick Rural ,Warwick,9,18,949,0.9%,1.9%
E01031260,Bishops Tachbrook South,Bishops Tachbrook,Warwick Rural ,Warwick,12,33,773,1.6%,4.3%
E01031261,Brunswick South West & kingsway,Brunswick,South Leamington & Whitnash ,Warwick,33,52,1079,3.1%,4.8%
E01031262,Brunswick South & Cemetary,Brunswick,South Leamington & Whitnash ,Warwick,27,53,1032,2.6%,5.1%
E01031263,Brunswick North East,Brunswick,South Leamington & Whitnash ,Warwick,33,52,1387,2.4%,3.7%
E01031264,Brunswick South East,Brunswick,South Leamington & Whitnash ,Warwick,27,64,1060,2.5%,6.0%
E01031265,Brunswick North West & Foundry,Brunswick,South Leamington & Whitnash ,Warwick,27,64,1104,2.4%,5.8%
E01031266,Old Town West & Railway Bridge,Brunswick,South Leamington & Whitnash ,Warwick,56,58,1584,3.5%,3.7%
E01031267,Hampton-on-the-Hill,Budbrooke,Warwick Rural ,Warwick,6,19,1086,0.6%,1.7%
E01031268,Hatton & Hampton Magna,Budbrooke,Warwick Rural ,Warwick,13,28,1779,0.7%,1.6%
E01031269,"Sherbourne, Barford & Wasperton",Budbrooke,Warwick Rural ,Warwick,7,17,865,0.8%,2.0%
E01031270,Town Centre,Clarendon,North Leamington ,Warwick,51,76,1398,3.6%,5.4%
E01031271,Campion Hills & Newbold Comyn,Clarendon,North Leamington ,Warwick,30,47,1063,2.8%,4.4%
E01031272,Clarendon North,Clarendon,North Leamington ,Warwick,14,23,1197,1.2%,1.9%
E01031273,Lillington East,Crown,North Leamington ,Warwick,84,124,943,8.9%,13.1%
E01031274,Lillington West,Crown,North Leamington ,Warwick,24,51,937,2.6%,5.4%
E01031275,Crown North East,Crown,North Leamington ,Warwick,7,21,758,0.9%,2.8%
E01031276,Lillington South,Crown,North Leamington ,Warwick,27,35,938,2.9%,3.7%
E01031277,Cubbington West & New Cubbington,Cubbington,Warwick Rural ,Warwick,9,23,928,1.0%,2.5%
E01031278,"New Cubbington, Blackdown & Old Milverton",Cubbington,Warwick Rural ,Warwick,5,16,889,0.6%,1.8%
E01031279,Cubbington East,Cubbington,Warwick Rural ,Warwick,6,12,757,0.8%,1.6%
E01031280,"Bubbenhall, Wappenbury, Weston & Eathorpe",Cubbington,Warwick Rural ,Warwick,10,13,823,1.2%,1.6%
E01031281,"Lapworth North, Baddesley Clinton & High Cross",Lapworth,Warwick Rural ,Warwick,6,18,945,0.6%,1.9%
E01031282,"Lapworth South, Bushwood, Lowsonford & Rowington",Lapworth,Warwick Rural ,Warwick,5,13,843,0.6%,1.5%
E01031283,"Wroxhall, Hasely & Honiley",Leek Wootton,Warwick Rural ,Warwick,5,12,746,0.7%,1.6%
E01031284,"Leek Wootton, Guys Cliffe & Beausale",Leek Wootton,Warwick Rural ,Warwick,#,13,749,#VALUE!,1.7%
E01031285,Manor South West,Manor,North Leamington ,Warwick,26,35,1379,1.9%,2.5%
E01031286,Manor South & Round Oaks,Manor,North Leamington ,Warwick,11,23,934,1.2%,2.5%
E01031287,Manor North,Manor,North Leamington ,Warwick,9,17,914,1.0%,1.9%
E01031288,Manor West,Manor,North Leamington ,Warwick,9,16,778,1.2%,2.1%
E01031289,Manor East,Manor,North Leamington ,Warwick,11,23,955,1.2%,2.4%
E01031290,Milverton Cliffe,Milverton,North Leamington ,Warwick,16,31,1155,1.4%,2.7%
E01031291,Milverton South East,Milverton,North Leamington ,Warwick,46,50,1048,4.4%,4.8%
E01031292,Milverton West,Milverton,North Leamington ,Warwick,9,27,975,0.9%,2.8%
E01031293,Milverton South West,Milverton,North Leamington ,Warwick,17,32,939,1.8%,3.4%
E01031294,Milverton East,Milverton,North Leamington ,Warwick,10,27,928,1.1%,2.9%
E01031295,Milverton North,Milverton,North Leamington ,Warwick,#,7,628,#VALUE!,1.1%
