Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
214327,Association of Educational Psychologists (AEP),51428719,R1408,Other Staffing Costs,820.00,07/09/2018,Communities
210825,ATG Access Ltd,51432752,R5702,Payments to External Contractors,1500.00,28/09/2018,Communities
208290,Atherstone Surgery (Dr Maher & Partners),51440743,R5702,Payments to External Contractors,961.73,28/09/2018,Communities
208290,Atherstone Surgery (Dr Maher & Partners),51440770,R5702,Payments to External Contractors,3612.00,28/09/2018,Communities
208492,Atkins Ltd,51432235,R1101,Agency Staff Pay,8587.72,12/09/2018,Communities
208492,Atkins Ltd,51432757,R1101,Agency Staff Pay,-8587.72,12/09/2018,Communities
208492,Atkins Ltd,51432763,R1101,Agency Staff Pay,4145.68,12/09/2018,Communities
208492,Atkins Ltd,51432764,R5706,Payments to Third Parties - Recoverable Operating Expenditure,4442.04,12/09/2018,Communities
208492,Atkins Ltd,51436821,C1050,External Fees,5429.05,25/09/2018,Capital
208492,Atkins Ltd,51436822,C1050,External Fees,13510.37,25/09/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51428428,C1050,External Fees,794.17,05/09/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51431970,R1101,Agency Staff Pay,3356.43,05/09/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51428644,C1050,External Fees,3950.00,07/09/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51428648,C1050,External Fees,13220.00,07/09/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51428660,C1050,External Fees,17034.21,07/09/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51428945,R4409,Consultancy,5003.00,12/09/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51429027,R4409,Consultancy,17797.50,13/09/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51436980,C1050,External Fees,1900.00,14/09/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51430464,C1050,External Fees,6680.00,14/09/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51430459,C1030,"New Construction, Conversion & Renovation",10264.40,14/09/2018,Capital
