For Entry In,Area,Name of School,PAN,Total Offered,Breakdown
2009,Nun & Bed,Camp Hill (Community) Primary & Early Years Cente,45,45,All Offered including Unplaced Applicants.
2009,Nun & Bed,Canon Evans C. of E. (Aided) Infant School,80,80,Places Allocated According to Schools Criteria. Contact School for Details.
2009,Nun & Bed,Chilvers Coton (Community) Infant School,75,27,All Offered including unplaced children
2009,Nun & Bed,Exhall Cedars (Community) Infant School and Nursery,56,56,All Offered including unplaced children
2009,Nun & Bed,Galley Common (Community) Infant School,45,45,"All On Time Criteria 2,4 & 5. Plus Criteria 7 up to a distance of 1.194 miles. "
2009,Nun & Bed,Glendale (Community) Infant School ,75,75,All Offered.
2009,Nun & Bed,Goodyers End (Community) Primary School,60,46,All Offered including unplaced children
2009,Nun & Bed,Keresley Newland (Community) Primary School,30,30,All On Time Applicants. Plus Late Criteria 2 & 4.
2009,Nun & Bed,Milby (Community) Primary School,60,42,All Offered
2009,Nun & Bed,Nathaniel Newton (Community) Infant School,60,60,All On Time Applicants. Plus Late Criteria 2.
2009,Nun & Bed,Newdigate (Community) Primary School,30,27,All Offered including Unplaced Applicants.
2009,Nun & Bed,Nursery Hill (Community) Primary School,25,18,All Offered including Unplaced Applicants.
2009,Nun & Bed,Our Lady of the Angels Catholic (Aided) Infant School,70,70,All Offered.
2009,Nun & Bed,Park Lane (Community) Primary School,50,29,All Offered including Unplaced Applicants.
2009,Nun & Bed,Race Leys (Community) Infant School,70,70,All Offered
2009,Nun & Bed,St Anne's Catholic (Aided) Primary School,29,29,All Offered
2009,Nun & Bed,St Francis Catholic (Aided) Primary School,30,30,Places Allocated According to Schools Criteria. Contact School for Details
2009,Nun & Bed,St Michael's C. of E. (Aided) Primary School,30,15,All Offered
2009,Nun & Bed,St Nicolas C. of E. (Aided) Primary School,60,56,All Offered.
2009,Nun & Bed,St Paul's C. of E. (Controlled) Primary School,60,60,"All On Time Criteria 2,4 & 5. Plus Criteria 7 up to a distance of 0.298 miles"
2009,Nun & Bed,Stockingford (Community) Infant School,120,73,All Offered including unplaced children
2009,Nun & Bed,Weddington (Community) Primary School,60,34,All Offered
2009,Nun & Bed,Wembrook (Community) Primary School,80,80,All On Time plus Late Criteria 2 and Criteria 4 up to a distance of 0.241 miles.
2009,Nun & Bed,Wheelwright Lane (Community) Primary School,30,30,"All On Time applicants Criteria 2,4 & 5.Plus Criteria 7 up to a distance of 0.97 miles"
2009,Nun & Bed,Whitestone (Community) Infant School,90,90,All On Time Applicants. Plus Late Criteria 4 & Criteria 7 up to a distance of 0.553 miles.
2009,Nun & Bed,Wolvey C. of E. (Controlled) Primary School,30,21,All Offered
2009,South,Acorns (Community) Primary School,10,9,All Offered including Unplaced Applicants.
2009,South,Alveston C. of E. (Controlled) Primary School,30,30,All Offered including Unplaced Applicants
2009,South,Barford St. Peter's C. of E. (Aided) Primary School,17,17,Places Allocated According to Schools Criteria. Contact School for Details.
2009,South,Bidford-on-Avon C. of E. (Controlled) Primary School,45,39,All Offered
2009,South,Bishopton (Community) Primary School,30,25,All Offered including Unplaced Applicants
2009,South,Brailes C. of E. (Controlled) Primary School,15,15,"All On Time Criteria 2,4 & 5. Plus Criteria 7 up to a distance 4.087 miles."
2009,South,Bridge Town (Community) Primary ,45,45,All On Time Criteria 2 & 4 up to a distance of 0.303 miles
2009,South,Claverdon (Community) Primary School,30,30,All On Time Criteria 2 & 4. Plus Criteria 5 up to a distance of 3.883 miles.
2009,South,Coughton C. of E. (Controlled) Primary School,20,20,All Offered. 
2009,South,The Dassett C. of E. (Controlled) Primary School,25,25,All Offered 
2009,South,Dunnington C. of E. (Aided) Primary School,15,15,Places Allocated According to Schools Criteria. Contact School for Details 
2009,South,Ettington C. of E. (Controlled) Primary School,25,25,"All On Time Criteria 2,4,5 & 7 up to a distance of 4.449 miles"
2009,South,The Ferncumbe C. of E. (Controlled) Primary School,17,17,All Offered.
2009,South,Great Alne (Community) Primary School,16,16,All Offered
2009,South,Hampton Lucy C. of E. (Controlled) Primary School,15,15,"All On Time 2,4 & 5. Plus Criteria 7 up to a distance of 1.942 miles. "
2009,South,Haselor School (Foundation),15,9,All Offered.
2009,South,Henley-in-Arden (Community) Primary School,29,29,All Offered.
2009,South,Ilmington C. of E. (Controlled) Primary School,15,15,All On Time Criteria 2 & 4.Plus Criteria 5 up to a distance of 3.348 miles.
2009,South,Kineton C. of E. (Aided) Primary School,30,25,All Offered.
2009,South,Lapworth C. of E. (Controlled) Primary School,20,20,"All On Time Criteria 2, 4, 5 & 7 up to a distance of 6.381 miles"
2009,South,Lighthorne Heath (Community) Primary School,13,11,All Offered including Unplaced Applicants
2009,South,Loxley C. of E. Community (Controlled) Primary School ,6,6,All Offered including Unplaced Applicants
2009,South,Mappleborough Green C. of E. (Controlled) Primary School,17,17,"All On Time Criteria 2, 4, 5 & 7 up to a distance of 0.406 miles"
2009,South,Moreton Morrell C. of E. (Foundation) Primary School,15,11,All Offered.
2009,South,Newbold and Tredington C. of E. (Controlled) Primary School,15,15,All Offered
2009,South,Our Lady's Catholic (Aided) Primary School,15,10,All Offered
2009,South,Quinton (Community) Primary School,15,22,All Offered 
2009,South,Salford Priors C. of E. (Controlled) Primary School,15,13,All Offered
2009,South,Shipston-on-Stour (Foundation) Primary School,54,46,All Offered
2009,South,Shottery St. Andrew's C. of E. (Controlled) Primary School,10,10,All On Time Criteria 2 & 4.Plus Criteria 5 up to a distance of 0.928 miles
2009,South,Snitterfield (Community) Primary School,15,9,All Offered including Unplaced Applicants 
2009,South,St. Gregory's Catholic (Aided) Primary School,30,30,Places Allocated According to Schools Criteria. Contact School for Details.
2009,South,"St Mary's Catholic (Aided) Primary School, Henley",10,5,All Offered
2009,South,"St Mary's Catholic (Aided) Primary School, Studley",30,30,Places Allocated According to Schools Criteria. Contact School for Details
2009,South,St. Nicholas C. of E. (Controlled) Primary School,60,44,All Offered including Unplaced Applicants
2009,South,Stratford-upon-Avon (Community) Primary School,30,30,"All On Time Criteria 2, 4 & 5 up to a distance of 3.997 miles"
2009,South,Studley Community (Community) Infant School],60,60, All On Time Applicants. Plus Late Criteria 2.
2009,South,Tanworth-in-Arden C. of E. (Aided) Primary School,30,30,Places Allocated According to Schools Criteria. Contact School for Details.
2009,South,Temple Grafton C. of E. (Aided) Primary School,15,13,All Offered
2009,South,Temple Herdewyke (Community) Primary School,12,12, All On Time. Plus Late Criteria 4.
2009,South,Thomas Jolyffe (Community) Primary School,60,60, All Offered including Unplaced Applicants
2009,South,Tysoe C. of E. (Controlled) Primary School,30,30,"All On Time Criteria 2, 4, 5 & 7 up to a distance of 5.398 miles"
2009,South,Welford-on-Avon (Community) Primary School,28,28,"All On Time Criteria 2,4 & 5. Plus Criteria 7 up to a distance of 3.479 miles"
2009,South,Wellesbourne C. of E. (Controlled) Primary School,60,40, All Offered including Unplaced Applicants
2009,South,The Willows C. of E. (Controlled) Primary School,45,45,"All On Time Criteria 2,4,& 5. Plus Criteria 7 up to a distance of 1.516 miles"
2009,South,Wilmcote C. of E. (Aided) Primary School,16,10,All Offered
2009,South,Wolverton (Foundation) Primary School,15,15,Places Allocated According to Schools Criteria. Contact School for Details
2009,South,Wootton Wawen C. of E. (Controlled) Primary School,24,24,"All On Time Criteria 2, 4,& 5. Plus Criteria 7 up to a distance of 3.115 miles"
2009,North,The Coleshill School - a Maths and Computing College,180,166,All Applicants Offered. 
2009,North,Kingsbury School A Specialist Science and Mathematics College,126,126,"All On Time Applicants in criteria 1, 2, 3, 4 and 5 to a distance of 3.739"
