Estab,School Name,Type,Phase,Education Area,District Area,2008,2009,2010
3040,Loxley C.Of E. Community Primary School,Primary,Primary,Southern,Stratford on Avon,0,0,0
4154,Manor Park Community School and Specialist Arts College,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,20,20.9,25.5
3041,Mappleborough Green C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,3.6,1.7,2.6
2028,Michael Drayton Junior School,Junior,Primary,North Warwickshire,North Warwickshire,10.2,13,13.6
5202,Middlemarch School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,15.5,13.1,16
2631,Milby Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,1,2.6,3.1
2606,Milverton Primary School,Primary,Primary,Central,Warwick,6.4,5.2,4.7
5205,Moreton Morrell C Of E Primary School,Primary,Primary,Southern,Stratford on Avon,1.1,0,3.3
5403,Myton School A Specialist Science College and Training School,Secondary,Secondary,Central,Warwick,5.2,5.6,6.6
2029,Nathaniel Newton Infant School,Infant,Primary,North Warwickshire,North Warwickshire,14.9,18.6,18.3
3214,Newbold And Tredington C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,2.4,2.5,6.1
2627,Newbold Riverside Primary School,Primary,Primary,Eastern,Rugby,28.2,29.2,29.7
2325,Newburgh Primary School,Primary,Primary,Central,Warwick,16.8,18.4,21.4
2633,Newdigate Primary School and Nursery,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,15.5,15,22.2
3047,Newton Regis C.Of E. Primary School,Primary,Primary,North Warwickshire,North Warwickshire,13.6,7.7,9.7
4103,Nicholas Chamberlaine Technology College,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,8.6,10.3,11.4
4237,North Leamington School,Secondary,Secondary,Central,Warwick,6.3,5.5,7.2
2417,Northlands Primary School,Primary,Primary,Eastern,Rugby,17.8,17.5,18
2001,Nursery Hill Primary School,Primary,Primary,North Warwickshire,North Warwickshire,18.9,6.9,12.6
7002,Oak Wood Primary School,Special,Special,Nuneaton & Bedworth,Nuneaton and Bedworth,29.3,36.8,36.6
7046,Oak Wood Secondary School,Special,Special,Nuneaton & Bedworth,Nuneaton and Bedworth,32.2,33.9,31.3
2577,Oakfield Junior School,Junior,Primary,North Warwickshire,North Warwickshire,21,17,21.4
2419,Oakfield Primary School,Primary,Primary,Eastern,Rugby,35.8,41.5,46.8
3546,Our Lady & St. Teresa's Catholic Primary School,Primary,Primary,Central,Warwick,14.3,16.8,17.9
3520,Our Lady Of The Angels Catholic Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,8.4,11.2,10.5
3500,"Our Lady's Catholic Primary School, Alcester",Primary,Primary,Southern,Stratford on Avon,5.6,13,11.5
3561,"Our Lady's Catholic Primary School, Princethorpe",Primary,Primary,Eastern,Rugby,2.6,2.7,7.4
2625,Paddox Primary School,Primary,Primary,Eastern,Rugby,2,3.4,5.3
2309,Park Hill Junior School,Junior,Primary,Central,Warwick,1.2,3.7,3.7
2636,Park Lane Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,22.1,23.7,25.5
2605,Priors Field Primary School,Primary,Primary,Central,Warwick,0.9,0.5,0.9
3212,Provost Williams C.Of E. Primary School,Primary,Primary,Eastern,Rugby,7.2,8.9,8.2
5404,Queen Elizabeth School and Sports College,Secondary,Secondary,North Warwickshire,North Warwickshire,12.3,12.3,15
3200,Queen's C.Of E. Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,23.4,22,25.1
2043,Quinton Primary School,Primary,Primary,Southern,Stratford on Avon,6.3,14.8,5
2614,Race Leys Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,12.2,11.5,19.6
2615,Race Leys Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,7.8,11.2,13.9
2617,Racemeadow Primary School,Primary,Primary,North Warwickshire,North Warwickshire,17.2,18,24.4
3152,Radford Semele C.Of E. Primary School,Primary,Primary,Central,Warwick,8,7.2,11.2
7028,Ridgeway School,Special,Special,Central,Warwick,27.5,23.2,30.1
7001,River House School,Special,Special,Southern,Stratford on Avon,33.3,45.1,39.3
3597,Rokeby Primary School,Primary,Primary,Eastern,Rugby,22.8,28.4,22.1
7030,"Round Oak School, Support Service and Sports College",Special,Special,Central,Warwick,19.8,22.1,23.4
5406,Rugby High School,Secondary,Secondary,Eastern,Rugby,0.5,0.7,1.2
3056,Salford Priors C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,4.2,7.2,9.4
4113,"Shipston High School, a Specialist Technology College",Secondary,Secondary,Southern,Stratford on Avon,9.7,9.4,9
5206,Shipston Primary School,Primary,Primary,Southern,Stratford on Avon,6.9,6.6,9.9
3057,Shottery St. Andrew's C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,5.9,11.6,18.7
2637,Shrubland Street Community Primary School,Primary,Primary,Central,Warwick,34,38.1,43.8
3207,Shustoke C.Of E. Primary School,Primary,Primary,North Warwickshire,North Warwickshire,2.4,3,1.1
2046,Snitterfield Primary School,Primary,Primary,Southern,Stratford on Avon,3.9,2,10.6
4114,Southam College,Secondary,Secondary,Central,Stratford on Avon,2.7,3.2,5.7
2624,Southam Primary School,Primary,Primary,Central,Stratford on Avon,7.9,11.5,15.2
3585,Southam St. James (Voluntary Aided) C. Of E. Primary School,Primary,Primary,Central,Stratford on Avon,2.5,2.5,6.1
3591,St. Andrew's Benn C.Of E. (Voluntary Aided) Primary School,Primary,Primary,Eastern,Rugby,17.3,21.6,28.6
3583,St. Anne's Catholic Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,23.5,28.2,30
3544,St. Anthony's Catholic Primary School,Primary,Primary,Central,Warwick,19.1,18,14.1
3541,St. Augustine's Catholic Primary School,Primary,Primary,Central,Warwick,1.9,2,2
4730,St. Benedict's Catholic High School,Secondary,Secondary,Southern,Stratford on Avon,2.5,4,5.4
3501,St. Benedict's Catholic Primary School,Primary,Primary,North Warwickshire,North Warwickshire,5.6,6,8.1
3503,St. Edward's Catholic Primary School,Primary,Primary,North Warwickshire,North Warwickshire,3.2,3.2,7.9
3502,St. Francis Catholic Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,14.1,10,10
2571,St. Giles Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,15.9,17.8,19.6
3506,St. Gregory's Catholic Primary School,Primary,Primary,Southern,Stratford on Avon,4.6,2.7,1.4
3015,St. James C.Of E. Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,4.8,4.1,6.4
2620,"St. John's Primary School, Nursery and Children's Centre",Primary,Primary,Central,Warwick,11,11.4,12.1
3584,St. Joseph's Catholic Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,7.4,9.2,11.4
3547,St. Joseph's Catholic Primary School,Primary,Primary,Central,Warwick,3.4,4.4,5.9
3589,St. Lawrence C.Of E. (Voluntary Aided) Primary School,Primary,Primary,Central,Stratford on Avon,5.5,4.1,6.7
3157,St. Margaret's C.Of E. Junior School,Junior,Primary,Central,Warwick,6.7,7.6,5.7
