ESTAB,School Name,Type,Phase,Education Area,District,2006_07_Total absence_4half_terms ,2007_08_Total absence_4half_terms ,2008_09_Total absence_4half_terms ,2006_07_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms 
2002,Gun Hill Infant School,Infant,Primary,North Warwickshire,North Warwickshire,5.3,4.4,4.7,3.3,1.9,2.3
3031,Hampton Lucy C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,4.9,3.6,4.8,1.2,0,1.1
3032,Harbury C.Of E. Primary School,Primary,Primary,Central,Stratford upon Avon,3.8,4.5,6,0,0.6,1.2
4802,Harris School,Secondary,Secondary,Eastern,Rugby,8.3,7.3,7.1,7.8,6.4,5.6
5402,Hartshill School,Secondary,Secondary,North Warwickshire,North Warwickshire,7.8,6.4,7,7.2,4.3,6.1
5200,Haselor School,Primary,Primary,Southern,Stratford upon Avon,2.7,3.4,4.7,0,1.3,1.2
4108,Henley-In-Arden High School,Secondary,Secondary,Southern,Stratford upon Avon,7.7,7.9,7.4,3.8,5.7,4.9
2031,Henley-In-Arden Primary School,Primary,Primary,Southern,Stratford upon Avon,4.3,3.7,4.8,2.7,1.3,0
2424,Henry Hinde Infant School,Infant,Primary,Eastern,Rugby,3.4,4.1,4.2,0,1.7,0.9
2588,Henry Hinde Junior School,Junior,Primary,Eastern,Rugby,4.8,4,4.5,1.8,1.8,1.1
2594,Herbert Fowler Junior School,Junior,Primary,North Warwickshire,North Warwickshire,4.9,5.7,5.5,1.4,1.9,2
2569,High Meadow Infant School,Infant,Primary,North Warwickshire,North Warwickshire,3.7,2.7,2.5,0,0,0
4153,Higham Lane School A Business and Enterprise College,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,5.7,5.6,6,2.8,3.3,3.7
2628,Hillmorton Primary School,Primary,Primary,Eastern,Rugby,5.2,3.8,4.5,1.1,0,0.6
2032,Hurley Primary School,Primary,Primary,North Warwickshire,North Warwickshire,6.6,6.1,5.2,6.2,4.2,2.4
3035,Ilmington C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,4.1,3.5,4.1,0,0,0
4236,Kenilworth School and Sports College,Secondary,Secondary,Central,Warwick,6.1,6.2,6.2,3.8,4.7,4
2613,Keresley Newland Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,7.3,5.7,7.7,6.6,3.1,5.8
3308,Kineton C.Of E. (Voluntary Aided) Primary School,Primary,Primary,Southern,Stratford upon Avon,3.7,3.6,4.5,0.6,0,0.7
4110,"Kineton High School, A Specialist Sports College",Secondary,Secondary,Southern,Stratford upon Avon,8,7.5,8.3,5.2,6.3,7.6
4601,King Edward VI School,Secondary,Secondary,Southern,Stratford upon Avon,6.4,5.9,6.3,2.2,1.9,1.3
3596,Kingsbury Primary School,Primary,Primary,North Warwickshire,North Warwickshire,4.2,5.3,4.3,0.4,0.8,0
4111,"Kingsbury School, a Specialist Science and Mathematics College",Secondary,Secondary,North Warwickshire,North Warwickshire,7.4,6.5,6.9,6.6,5.1,4.9
2638,Kingsway Community Primary School,Primary,Primary,Central,Warwick,6.2,6.8,5.5,1.8,3.9,2
3590,Knightlow C.Of E. Primary School,Primary,Primary,Eastern,Rugby,4.5,3.3,5,0.6,0,1.8
3147,Lapworth C.Of E. Primary School,Primary,Primary,Central,Warwick,3.9,3.2,3,0,0.8,0
